Variable Name,Time Step,Positive Contribute Value
CAC-Pulse Oximetry,1,8.35E-02
CAC-Respirations,1,-1.05E-04
CAC-Pulse,1,1.90E-02
ALT,1,1.04E-01
AMYLASE,1,0.00E+00
PTT,1,1.19E-01
ATYPLYMPH,1,2.57E-18
BANDS,1,-2.20E-06
DBILIRUBIN,1,2.07E-05
CRP,1,1.69E-01
CREATININE,1,3.94E-02
GLUCOSE,1,-8.59E-03
HCT,1,1.30E-02
HGB,1,1.11E-02
IL6,1,4.27E-22
KETONE,1,0.00E+00
LACTATE,1,1.05E-01
LDH,1,2.24E-02
LYMPHO_PREC,1,6.37E-02
LYMPHO,1,3.02E-02
MONO-PREC,1,4.50E-02
NEURTO_PREC,1,2.73E-02
NEUTRO,1,5.10E-02
PCO2,1,3.06E-02
RBCCNT,1,1.67E-02
TROPONINI,1,7.95E-04
WBC,1,4.87E-03
CAC-Pulse Oximetry,2,4.24E-02
CAC-Respirations,2,-3.45E-02
CAC-Pulse,2,-7.18E-03
ALT,2,4.84E-02
AMYLASE,2,0.00E+00
PTT,2,-7.39E-06
ATYPLYMPH,2,-3.83E-18
BANDS,2,1.79E-19
DBILIRUBIN,2,4.50E-10
CRP,2,1.72E-01
CREATININE,2,-2.17E-01
GLUCOSE,2,2.44E-02
HCT,2,-9.40E-04
HGB,2,-2.32E-03
IL6,2,0.00E+00
KETONE,2,0.00E+00
LACTATE,2,-4.45E-03
LDH,2,8.50E-07
LYMPHO_PREC,2,5.50E-02
LYMPHO,2,3.07E-02
MONO-PREC,2,5.89E-02
NEURTO_PREC,2,2.80E-02
NEUTRO,2,1.11E-01
PCO2,2,1.01E-03
RBCCNT,2,-1.49E-03
TROPONINI,2,-6.47E-05
WBC,2,4.82E-02
CAC-Pulse Oximetry,3,3.23E-01
CAC-Respirations,3,5.29E-01
CAC-Pulse,3,1.47E-01
ALT,3,2.31E-01
AMYLASE,3,0.00E+00
PTT,3,1.32E-01
ATYPLYMPH,3,9.72E-01
BANDS,3,8.32E-02
DBILIRUBIN,3,4.95E-07
CRP,3,2.53E-01
CREATININE,3,7.87E-02
GLUCOSE,3,3.51E-01
HCT,3,2.14E-02
HGB,3,4.14E-03
IL6,3,1.21E-04
KETONE,3,0.00E+00
LACTATE,3,8.36E-01
LDH,3,2.14E-01
LYMPHO_PREC,3,1.75E-01
LYMPHO,3,1.30E-01
MONO-PREC,3,2.39E-01
NEURTO_PREC,3,-1.52E-02
NEUTRO,3,1.51E-01
PCO2,3,4.54E-02
RBCCNT,3,2.32E-02
TROPONINI,3,-2.75E-01
WBC,3,2.97E-01
CAC-Pulse Oximetry,4,0.40814457
CAC-Respirations,4,0.83630676
CAC-Pulse,4,0.38896933
ALT,4,0.54445679
AMYLASE,4,0.49896367
PTT,4,0.5154931
ATYPLYMPH,4,0.96140371
BANDS,4,0.23035793
DBILIRUBIN,4,1.44548284
CRP,4,1.4001935
CREATININE,4,0.25412042
GLUCOSE,4,0.60450495
HCT,4,0.28203985
HGB,4,0.21280704
IL6,4,0.80449083
KETONE,4,1.52913123
LACTATE,4,1.82584573
LDH,4,1.4272901
LYMPHO_PREC,4,0.9468143
LYMPHO,4,0.28745599
MONO-PREC,4,0.58380469
NEURTO_PREC,4,0.35159398
NEUTRO,4,1.29837385
PCO2,4,0.80547273
RBCCNT,4,0.30681034
TROPONINI,4,0.41564742
WBC,4,0.72766854
