Variable Name,Time Step,Positive Contribute Value
CAC-RESPIRATIONS,1,-6.08E-07
CAC-PULSE,1,1.16E-06
CAC-Height,1,1.58E-17
AMYLASE,1,0.00E+00
PTT,1,-7.23E-10
AST,1,-5.27E-12
BANDS,1,2.60E-30
DBILIRUBIN,1,3.51E-10
TBILIRUBIN,1,6.00E-11
BNP,1,-1.89E-14
CRP,1,5.72E-09
CKMB,1,0.00E+00
DDIMER,1,-1.14E-10
FIBRINOGEN,1,-1.99E-20
GLUCOSE,1,-9.11E-10
HCT,1,1.34E-10
HGB,1,1.11E-10
IRON,1,0.00E+00
LDH,1,1.02E-10
LYMPHO_PREC,1,2.54E-10
MONO_PREC,1,2.11E-10
MONO,1,3.02E-10
NEUTRO_PREC,1,1.19E-10
NEUTRO,1,6.02E-12
POTASSIUM,1,-1.03E-09
PT,1,4.88E-11
TROPONINI,1,3.11E-13
WBC,1,-1.47E-10
CAC-RESPIRATIONS,2,4.33E-07
CAC-PULSE,2,3.76E-07
CAC-Height,2,6.18E-11
AMYLASE,2,0.00E+00
PTT,2,1.03E-17
AST,2,-7.06E-14
BANDS,2,-3.97E-20
DBILIRUBIN,2,8.66E-21
TBILIRUBIN,2,2.53E-11
BNP,2,0.00E+00
CRP,2,-1.13E-17
CKMB,2,0.00E+00
DDIMER,2,1.73E-14
FIBRINOGEN,2,3.69E-21
GLUCOSE,2,-3.35E-09
HCT,2,1.06E-08
HGB,2,1.94E-13
IRON,2,0.00E+00
LDH,2,3.16E-19
LYMPHO_PREC,2,1.43E-15
MONO_PREC,2,-1.33E-15
MONO,2,-4.56E-15
NEUTRO_PREC,2,5.87E-16
NEUTRO,2,2.78E-16
POTASSIUM,2,5.24E-09
PT,2,7.52E-12
TROPONINI,2,4.93E-11
WBC,2,5.21E-13
CAC-RESPIRATIONS,3,5.84E-02
CAC-PULSE,3,-5.14E-04
CAC-Height,3,-8.56E-08
AMYLASE,3,-1.31E-14
PTT,3,1.70E-04
AST,3,-1.28E-03
BANDS,3,-7.90E-02
DBILIRUBIN,3,1.53E-04
TBILIRUBIN,3,1.39E-02
BNP,3,2.25E-13
CRP,3,1.22E-01
CKMB,3,0.00E+00
DDIMER,3,-1.20E-04
FIBRINOGEN,3,5.82E-03
GLUCOSE,3,5.62E-02
HCT,3,2.07E-02
HGB,3,1.73E-02
IRON,3,0.00E+00
LDH,3,1.35E-02
LYMPHO_PREC,3,1.14E-02
MONO_PREC,3,1.91E-02
MONO,3,1.76E-02
NEUTRO_PREC,3,1.05E-02
NEUTRO,3,1.17E-02
POTASSIUM,3,6.20E-03
PT,3,-8.39E-05
TROPONINI,3,4.77E-02
WBC,3,9.13E-03
CAC-RESPIRATIONS,4,0.34689565
CAC-PULSE,4,0.16522219
CAC-Height,4,0.20555845
AMYLASE,4,0.23798207
PTT,4,0.19509792
AST,4,0.12099679
BANDS,4,0.25205278
DBILIRUBIN,4,0.44320348
TBILIRUBIN,4,0.16699368
BNP,4,0.10229217
CRP,4,0.77231963
CKMB,4,0.45768156
DDIMER,4,0.3193758
FIBRINOGEN,4,0.16396975
GLUCOSE,4,0.59299535
HCT,4,0.2118677
HGB,4,0.15948038
IRON,4,0.25694962
LDH,4,0.6755857
LYMPHO_PREC,4,0.14253727
MONO_PREC,4,0.36644465
MONO,4,0.43345697
NEUTRO_PREC,4,0.13766733
NEUTRO,4,0.18793844
POTASSIUM,4,0.1047784
PT,4,0.16949393
TROPONINI,4,2.19833034
WBC,4,0.54885872
