Variable Names,Time Step,Contribution Scores
high,1.0,0.002132065478143917
low,1.0,0.003634884872299321
CAC - TEMPERATURE,1.0,0.0011178811742840826
CAC - PULSE OXIMETRY,1.0,0.011712184523242188
CAC - RESPIRATIONS,1.0,0.001507609374600729
CAC - PULSE,1.0,0.00045472819473392896
CAC - HEIGHT,1.0,-0.0004996756609063906
CAC - WEIGHT/SCALE,1.0,0.01121466764997188
ALBUMIN,1.0,0.009459327963172302
ALKPHOS,1.0,0.00678657734622567
ALT,1.0,0.0005738802234248808
AGAP,1.0,0.03295826128572796
PTT,1.0,0.011659581168896118
AST,1.0,0.045814334704274325
ATYPLYMPH,1.0,0.0
BANDS,1.0,0.0013237448425227204
DBILIRUBIN,1.0,-0.01467135454164497
TBILIRUBIN,1.0,-0.007027545431200751
BNP,1.0,-0.006701516263331204
BUN,1.0,0.10080342321655514
CRP,1.0,0.015854189148214484
CALCIUMIONIZED,1.0,-0.00014582889588361014
CALCIUM,1.0,0.0017294690660814177
CHLORIDE,1.0,1.3356959226195462e-05
CPK,1.0,0.10498131842416172
CKMB,1.0,-2.4689001007654494e-06
BICARB,1.0,-0.0021158438683193063
CREATININE,1.0,0.11125903453288896
DDIMER,1.0,0.0020962761132857326
FERRITIN,1.0,-0.0029312053412022666
FIBRINOGEN,1.0,-8.427103418001604e-05
GLUCOSE,1.0,0.010546786988945435
HCT,1.0,0.0014282582365396591
HGB,1.0,0.002314433513928652
INR,1.0,0.00011945637448592346
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.0731583964613705
LDH,1.0,0.02442300509504669
LYMPHO_PERC,1.0,0.014605861246447374
LYMPHO,1.0,-0.0019522819754696664
MCHC,1.0,3.466764696204305e-05
MCV,1.0,0.0002310798853265352
MPV,1.0,0.0006219385616495754
MONO_PERC,1.0,0.008744892827018253
MONO,1.0,-0.0003755603179981663
NEUTRO_PERC,1.0,0.001700512191385806
NEUTRO,1.0,0.02070698796659897
O2SAT,1.0,0.000754624777284667
PCO2,1.0,0.018398635940517646
PH,1.0,0.0012922169221592263
PLT,1.0,0.0016416856901395951
PO2,1.0,0.0002461629731124684
POTASSIUM,1.0,0.011823772217596819
PT,1.0,-0.00015677586413991845
PROTEIN,1.0,0.0024472432557841304
RBCCNT,1.0,0.0016223879823813701
RDW,1.0,0.00032148453567662223
