Variable Names,Time Step,Contribution Scores
high,1.0,0.004016402827349728
low,1.0,0.0061646836139855905
CAC - TEMPERATURE,1.0,-0.00038626460028282555
CAC - PULSE OXIMETRY,1.0,0.01833020876164421
CAC - RESPIRATIONS,1.0,0.0012316040851014613
CAC - PULSE,1.0,0.005748675210531196
CAC - HEIGHT,1.0,0.0006858319183564112
CAC - WEIGHT/SCALE,1.0,-0.0009771336327283392
ALBUMIN,1.0,0.016273843113599754
ALKPHOS,1.0,0.003305178677350183
ALT,1.0,0.15510123857524413
AGAP,1.0,0.05154995000464007
PTT,1.0,-0.0008841124466082529
AST,1.0,0.7376117262713441
ATYPLYMPH,1.0,0.0
BANDS,1.0,0.06112353227302708
DBILIRUBIN,1.0,-0.009036032771497133
TBILIRUBIN,1.0,0.001958968039865552
BNP,1.0,0.012838934963082284
BUN,1.0,0.12454441627639462
CRP,1.0,0.02456447215404144
CALCIUMIONIZED,1.0,0.000623972689218637
CALCIUM,1.0,0.008058212985216716
CHLORIDE,1.0,-0.0003710540258802201
CPK,1.0,0.048366352667474424
CKMB,1.0,0.01933886705977666
BICARB,1.0,0.001950424186988176
CREATININE,1.0,0.05727613654633306
DDIMER,1.0,0.030830501157279665
FERRITIN,1.0,0.002164908449149423
FIBRINOGEN,1.0,0.0029523316058022698
GLUCOSE,1.0,0.020544418254367747
HCT,1.0,0.0003296998139283919
HGB,1.0,0.0024309832225742783
INR,1.0,0.01217729202950311
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.24769431135338382
LDH,1.0,0.024311531941915442
LYMPHO_PERC,1.0,0.01795463510276867
LYMPHO,1.0,0.0031775848575607934
MCHC,1.0,-0.00010058626582348753
MCV,1.0,-0.0009001291345752149
MPV,1.0,0.0026432648796316112
MONO_PERC,1.0,0.01070231796049631
MONO,1.0,0.0005343550170089908
NEUTRO_PERC,1.0,0.002721496732850424
NEUTRO,1.0,0.026789589871098345
O2SAT,1.0,0.0021083580778657835
PCO2,1.0,-0.0005411849257823208
PH,1.0,0.002254531784405134
PLT,1.0,0.007613395476335088
PO2,1.0,8.515988176962612e-05
POTASSIUM,1.0,0.022593088346372223
PT,1.0,0.0032531599766432106
PROTEIN,1.0,0.00444407909715397
RBCCNT,1.0,0.00251800331374885
RDW,1.0,-0.00107610326917842
SODIUM,1.0,5.478248819256998e-05
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,0.013154949843205845
WBC,1.0,0.057006922577660345
high,2.0,0.007903940551905114
low,2.0,0.012681635226739396
CAC - TEMPERATURE,2.0,0.0010618719210953558
CAC - PULSE OXIMETRY,2.0,0.05050656913038197
CAC - RESPIRATIONS,2.0,0.0010070541857723097
CAC - PULSE,2.0,0.007606905580489598
CAC - HEIGHT,2.0,-5.849266895690652e-05
CAC - WEIGHT/SCALE,2.0,0.005933738283939861
ALBUMIN,2.0,0.016843909853068276
ALKPHOS,2.0,-0.001474801162485354
ALT,2.0,0.032132417639173586
