Variable Names,Time Step,Contribution Scores
high,1.0,0.03908634432270437
low,1.0,0.05848149078713418
CAC - TEMPERATURE,1.0,-4.857470452746633e-05
CAC - PULSE OXIMETRY,1.0,0.3097452030280613
CAC - RESPIRATIONS,1.0,0.04464439249524982
CAC - PULSE,1.0,0.04428502913723694
CAC - HEIGHT,1.0,-0.00013319047637010972
CAC - WEIGHT/SCALE,1.0,-0.0011253089258464871
ALBUMIN,1.0,0.126917607116996
ALKPHOS,1.0,0.12061478397042853
ALT,1.0,0.13686593063265556
AGAP,1.0,0.2818408800101687
PTT,1.0,0.00769408826906742
AST,1.0,1.0201428555520526
ATYPLYMPH,1.0,-0.03331997222267091
BANDS,1.0,0.06004843327391427
DBILIRUBIN,1.0,-0.09590497494064039
TBILIRUBIN,1.0,0.12136720084536076
BNP,1.0,0.0
BUN,1.0,1.3148008032340934
CRP,1.0,0.16206829088041558
CALCIUMIONIZED,1.0,0.006376260448382709
CALCIUM,1.0,0.033645209416226625
CHLORIDE,1.0,0.0019455040497361555
CPK,1.0,0.018495608369509375
CKMB,1.0,0.0
BICARB,1.0,0.008335235967271716
CREATININE,1.0,0.5902205161503256
DDIMER,1.0,0.3588578001479618
FERRITIN,1.0,0.01857803512054185
FIBRINOGEN,1.0,0.026564811410692828
GLUCOSE,1.0,0.09363419124573488
HCT,1.0,0.008364042159742433
HGB,1.0,0.010589524963443113
INR,1.0,-0.010911521988972609
IL6,1.0,0.5324501664978287
IRON,1.0,0.0
LACTATE,1.0,0.50853775114374
LDH,1.0,0.325540260172316
LYMPHO_PERC,1.0,0.10394471364893883
LYMPHO,1.0,0.03664618963508532
MCHC,1.0,0.0009599003311595163
MCV,1.0,0.008546994934038498
MPV,1.0,0.04297041974266767
MONO_PERC,1.0,0.22048009193340773
MONO,1.0,0.0006635741083602197
NEUTRO_PERC,1.0,0.04192122868316101
NEUTRO,1.0,0.25853668739636293
O2SAT,1.0,0.010281108404451515
PCO2,1.0,0.19320595629906165
PH,1.0,0.012350383789331922
PLT,1.0,0.07253052232911064
PO2,1.0,-0.004652757715666667
POTASSIUM,1.0,0.07969200131510842
PT,1.0,-0.00589895583018612
PROTEIN,1.0,0.0227184191358093
RBCCNT,1.0,0.013141538858059878
RDW,1.0,0.0008026018958461414
SODIUM,1.0,0.009903631685879443
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,-0.25844617038965223
WBC,1.0,0.4464766144424625
high,2.0,0.07593890650022958
low,2.0,0.14435983508060699
CAC - TEMPERATURE,2.0,0.00021003360478773458
CAC - PULSE OXIMETRY,2.0,0.5334374063680689
CAC - RESPIRATIONS,2.0,0.03603812873035422
CAC - PULSE,2.0,0.03666575159378225
CAC - HEIGHT,2.0,-0.0006629847281146795
CAC - WEIGHT/SCALE,2.0,-0.0391586418652209
ALBUMIN,2.0,0.1638428517423523
ALKPHOS,2.0,0.1399275319366215
ALT,2.0,0.010006605599073976
AGAP,2.0,0.544178937170648
PTT,2.0,0.11624664546300967
AST,2.0,0.6265446839207331
ATYPLYMPH,2.0,-0.07364405933665694
BANDS,2.0,0.06426694173960641
DBILIRUBIN,2.0,1.4638658103346824
TBILIRUBIN,2.0,1.301288789784217
BNP,2.0,0.0
BUN,2.0,1.5935109838421007
CRP,2.0,0.2374619389638141
CALCIUMIONIZED,2.0,0.0011091772548557977
CALCIUM,2.0,0.05873507504909163
CHLORIDE,2.0,-0.00034090237019088486
CPK,2.0,0.11779199478041846
CKMB,2.0,0.0
BICARB,2.0,0.019652382276598365
CREATININE,2.0,1.0574188883812883
DDIMER,2.0,0.7935580762351553
FERRITIN,2.0,0.09433404450551694
FIBRINOGEN,2.0,-0.007461916779478392
GLUCOSE,2.0,0.13985578063191845
HCT,2.0,0.006628825162429683
HGB,2.0,0.022001700043669414
INR,2.0,0.23371920190544593
IL6,2.0,0.08329889402957633
IRON,2.0,0.0
LACTATE,2.0,1.5764756774962922
LDH,2.0,0.6892706525351968
LYMPHO_PERC,2.0,0.08083575118200055
LYMPHO,2.0,0.03849611480232267
MCHC,2.0,-0.001432122435856345
MCV,2.0,0.003924203155433313
MPV,2.0,0.030811298321004287
MONO_PERC,2.0,0.15688110428634988
MONO,2.0,-0.005688663172850284
NEUTRO_PERC,2.0,0.01984021156120261
NEUTRO,2.0,0.2577801895394389
O2SAT,2.0,-0.005686119849478644
PCO2,2.0,0.10136704566177128
PH,2.0,0.00677877502636477
PLT,2.0,0.12233483073839849
PO2,2.0,-6.837138696321374e-05
POTASSIUM,2.0,0.2149060229779589
PT,2.0,0.1755951075201544
PROTEIN,2.0,0.04437211217794574
RBCCNT,2.0,0.008810421111843218
RDW,2.0,0.019941920383865736
SODIUM,2.0,0.0066003362521012245
TIBC,2.0,0.0
TRANSFERRINSAT,2.0,0.0
TROPONINI,2.0,0.030616196133196372
WBC,2.0,0.5793111890882272
high,3.0,0.11431144812821907
low,3.0,0.1750620292432856
CAC - TEMPERATURE,3.0,0.002476382684073674
CAC - PULSE OXIMETRY,3.0,0.36922034316430197
CAC - RESPIRATIONS,3.0,0.05957961720521436
CAC - PULSE,3.0,0.04224112482301958
CAC - HEIGHT,3.0,-0.008960900923432458
CAC - WEIGHT/SCALE,3.0,0.054515290289418775
ALBUMIN,3.0,0.05704226155154992
ALKPHOS,3.0,-0.0843339357183304
ALT,3.0,-0.0035655159461852022
AGAP,3.0,0.4282571869002873
PTT,3.0,-0.049320205812086744
AST,3.0,0.25803564260343204
ATYPLYMPH,3.0,-0.0023584494178066962
BANDS,3.0,-0.020417354780119155
DBILIRUBIN,3.0,-0.0014654434439592024
TBILIRUBIN,3.0,-0.05685144246717998
BNP,3.0,0.044728809595108034
BUN,3.0,1.7339036311195044
CRP,3.0,0.10734867673414475
CALCIUMIONIZED,3.0,0.00628266281699492
CALCIUM,3.0,0.03475117953361846
CHLORIDE,3.0,0.003669052683348193
CPK,3.0,0.0
CKMB,3.0,0.0
BICARB,3.0,0.017300299090461397
CREATININE,3.0,1.1382187985008136
DDIMER,3.0,0.17602920127781718
FERRITIN,3.0,-0.009619756143129377
FIBRINOGEN,3.0,0.0051590537052197995
GLUCOSE,3.0,0.16316097996626977
HCT,3.0,-0.010560498284692119
HGB,3.0,-0.012483368338628094
INR,3.0,-0.0032727122366634337
IL6,3.0,0.0
IRON,3.0,0.0
LACTATE,3.0,-0.039053536525224156
LDH,3.0,1.9886026828427419
LYMPHO_PERC,3.0,0.09279557488884438
LYMPHO,3.0,0.025922033660250997
MCHC,3.0,-0.0017483654078261346
MCV,3.0,0.009394146157456313
MPV,3.0,0.05465156173963409
MONO_PERC,3.0,0.18639405793546454
MONO,3.0,-0.003158703449287827
NEUTRO_PERC,3.0,0.03994890063660626
NEUTRO,3.0,0.41776958173444656
O2SAT,3.0,0.00017963534385041863
PCO2,3.0,0.0673553973306953
PH,3.0,0.004205475313915448
PLT,3.0,0.06753005132117205
PO2,3.0,0.0013141192436194739
POTASSIUM,3.0,0.31796226336570005
PT,3.0,0.0017568290700341344
PROTEIN,3.0,-0.0008713912976619192
RBCCNT,3.0,-0.01116115618938791
RDW,3.0,-0.02376315850481268
SODIUM,3.0,0.011730812024040716
TIBC,3.0,0.0
TRANSFERRINSAT,3.0,0.0
TROPONINI,3.0,-0.009354346990585327
WBC,3.0,0.2903281521903028
high,4.0,0.24466973088327423
low,4.0,0.3396595143136601
CAC - TEMPERATURE,4.0,0.0013478389616826587
CAC - PULSE OXIMETRY,4.0,2.622410879210796
CAC - RESPIRATIONS,4.0,-0.2588609220858013
CAC - PULSE,4.0,-0.07861528494326869
CAC - HEIGHT,4.0,0.0
CAC - WEIGHT/SCALE,4.0,0.043285037577152255
ALBUMIN,4.0,-0.131625572588689
