Variable Names,Time Step,Contribution Scores
high,1.0,0.00025305354089792366
low,1.0,-0.0029018547483170808
CAC - TEMPERATURE,1.0,-0.0004429270249563308
CAC - PULSE OXIMETRY,1.0,0.04939272958896761
CAC - RESPIRATIONS,1.0,0.013226400579683589
CAC - PULSE,1.0,0.01636002742311464
CAC - HEIGHT,1.0,-2.0996887765730547e-05
CAC - WEIGHT/SCALE,1.0,-0.0003459100424122004
ALBUMIN,1.0,4.677472942519155e-06
ALKPHOS,1.0,-0.0009777127773113715
ALT,1.0,-0.0020618095948716545
AGAP,1.0,0.006356103293969473
PTT,1.0,5.6758487109833136e-05
AST,1.0,-0.0009706625613380168
ATYPLYMPH,1.0,0.0
BANDS,1.0,-0.0011648474495984877
DBILIRUBIN,1.0,-0.002383832577027357
TBILIRUBIN,1.0,-0.001591581762352617
BNP,1.0,0.0010113661993482808
BUN,1.0,0.011225099563363063
CRP,1.0,0.005996631006925713
CALCIUMIONIZED,1.0,0.0
CALCIUM,1.0,-4.75952225379167e-05
CHLORIDE,1.0,-0.00035881909571643263
CPK,1.0,0.0
CKMB,1.0,0.0
BICARB,1.0,0.00014018882343816346
CREATININE,1.0,0.0026228903696136688
DDIMER,1.0,0.007673766683438293
FERRITIN,1.0,0.00728296743592917
FIBRINOGEN,1.0,-0.0001998116300439034
GLUCOSE,1.0,0.0016256515697118969
HCT,1.0,-0.0004410719473547793
HGB,1.0,-0.00134110707874713
INR,1.0,0.010407759530192677
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.01731023444929889
LDH,1.0,0.009122442534101513
LYMPHO_PERC,1.0,0.0014741446756513542
LYMPHO,1.0,-0.0004024759585520542
MCHC,1.0,-8.489804644143407e-06
MCV,1.0,0.0004080805570563856
MPV,1.0,0.00022200245168015853
MONO_PERC,1.0,0.0040261085563230775
MONO,1.0,-0.00040847608604093475
NEUTRO_PERC,1.0,0.0001171084187627818
NEUTRO,1.0,0.015518909050353857
O2SAT,1.0,0.0
PCO2,1.0,0.0
PH,1.0,0.0
PLT,1.0,-0.00018323309110998722
PO2,1.0,0.0
POTASSIUM,1.0,0.0007582481389270758
PT,1.0,0.004484615053114394
PROTEIN,1.0,-9.028930460600835e-05
RBCCNT,1.0,-0.0010345528072417838
RDW,1.0,-0.001819859115760958
SODIUM,1.0,0.0002906233875644629
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,-0.006707353334016249
WBC,1.0,0.016313972752675637
high,2.0,0.0008480010022910836
low,2.0,0.0042423006578840815
CAC - TEMPERATURE,2.0,-0.0004058455716721916
CAC - PULSE OXIMETRY,2.0,0.021294659321680735
CAC - RESPIRATIONS,2.0,-0.0007860402841297246
CAC - PULSE,2.0,0.004871796030875861
CAC - HEIGHT,2.0,0.0
CAC - WEIGHT/SCALE,2.0,-0.0003448183080650148
ALBUMIN,2.0,0.0032708686202427687
ALKPHOS,2.0,-0.0005874177365737355
ALT,2.0,0.00022899860376802587
AGAP,2.0,0.013098795058948709
PTT,2.0,-0.0004732929061188235
AST,2.0,0.00869228629222233
ATYPLYMPH,2.0,0.0
BANDS,2.0,0.0
DBILIRUBIN,2.0,-0.0016925109413063087
TBILIRUBIN,2.0,-0.0011625159773230001
BNP,2.0,0.0
BUN,2.0,0.01977728055760017
CRP,2.0,-0.0017251637471072633
CALCIUMIONIZED,2.0,-1.1705158531519003e-05
CALCIUM,2.0,9.178463664135952e-05
CHLORIDE,2.0,5.0179540307657646e-05
CPK,2.0,0.016389482209991164
CKMB,2.0,0.0005474361122054649
BICARB,2.0,0.00047031843391348187
CREATININE,2.0,0.016692128474101002
DDIMER,2.0,0.027221594719177962
FERRITIN,2.0,0.004594560335328567
