Variable Names,Time Step,Contribution Scores
high,1.0,0.012791350759213062
low,1.0,0.02526325388219839
CAC - TEMPERATURE,1.0,0.001129628169051652
CAC - PULSE OXIMETRY,1.0,0.007588510440658859
CAC - RESPIRATIONS,1.0,0.009114358075771302
CAC - PULSE,1.0,0.011285927581311982
CAC - HEIGHT,1.0,0.0
CAC - WEIGHT/SCALE,1.0,-0.00023447541905148063
ALBUMIN,1.0,0.009567014329397135
ALKPHOS,1.0,-0.007501094523586572
ALT,1.0,0.02045845596847666
AGAP,1.0,0.029674099020450418
PTT,1.0,0.007480747377749381
AST,1.0,0.11754147357743018
ATYPLYMPH,1.0,0.00011056178446851562
BANDS,1.0,-0.002998245813388342
DBILIRUBIN,1.0,-0.043399334831148786
TBILIRUBIN,1.0,-0.016829996083920686
BNP,1.0,0.0
BUN,1.0,0.14157116619641497
CRP,1.0,-0.006389365090242526
CALCIUMIONIZED,1.0,-0.0007313476474763702
CALCIUM,1.0,0.008502346742620726
CHLORIDE,1.0,2.7893998219180596e-05
CPK,1.0,0.0
CKMB,1.0,-2.7064427520938773e-05
BICARB,1.0,-0.00013484739334775932
CREATININE,1.0,0.04694803280201143
DDIMER,1.0,0.045448489072982774
FERRITIN,1.0,0.1572288962828724
FIBRINOGEN,1.0,0.006614089979934273
GLUCOSE,1.0,0.02494617132240469
HCT,1.0,0.005800059651252899
HGB,1.0,0.006505444800915092
INR,1.0,-0.0010449584531958735
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.12851589600777982
LDH,1.0,0.05805418597562199
LYMPHO_PERC,1.0,0.015127025900734073
LYMPHO,1.0,0.002801519700155478
MCHC,1.0,0.0003476687648269147
MCV,1.0,0.0010696298795958752
MPV,1.0,-0.00013778840222973532
MONO_PERC,1.0,0.014841240318014566
MONO,1.0,-0.0007906518321246423
NEUTRO_PERC,1.0,0.003155818283553723
NEUTRO,1.0,0.03906543026175278
O2SAT,1.0,0.0009814986671738454
PCO2,1.0,0.035147239972585634
PH,1.0,0.0008409179587146338
PLT,1.0,0.0009914170693743477
PO2,1.0,-0.0066556531437100535
POTASSIUM,1.0,0.015314348065053015
PT,1.0,-0.0003835021136991082
PROTEIN,1.0,0.009295824064584545
RBCCNT,1.0,0.0057030886387198915
RDW,1.0,0.005313201090257994
SODIUM,1.0,0.0019178520605973614
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,-0.013165104120383787
