Variable Names,Time Step,Contribution Scores
high,1.0,0.0005564580409449724
low,1.0,0.003540757897738427
CAC - TEMPERATURE,1.0,0.0001077535839961762
CAC - PULSE OXIMETRY,1.0,0.017854179983688767
CAC - RESPIRATIONS,1.0,-0.0012862187738687375
CAC - PULSE,1.0,0.009969416159189434
CAC - HEIGHT,1.0,-0.0004140808616141167
CAC - WEIGHT/SCALE,1.0,-0.0011674391209804298
ALBUMIN,1.0,0.014900473098102754
ALKPHOS,1.0,0.002973364000638212
ALT,1.0,0.034658691404744355
AGAP,1.0,0.019295319830576484
PTT,1.0,0.015859353416141055
AST,1.0,0.3492340224941641
ATYPLYMPH,1.0,0.0012114368471017084
BANDS,1.0,-2.4569024414074117e-05
DBILIRUBIN,1.0,-0.0038269191967194353
TBILIRUBIN,1.0,0.002817704505061621
BNP,1.0,-9.79933104486685e-06
BUN,1.0,0.08788035054911837
CRP,1.0,0.003355058755018779
CALCIUMIONIZED,1.0,3.7968835262546926e-05
CALCIUM,1.0,0.003971187282216363
CHLORIDE,1.0,0.0002527426515691065
CPK,1.0,0.002499748924299169
CKMB,1.0,0.0
BICARB,1.0,0.0024256233519487024
CREATININE,1.0,0.03204566803871553
DDIMER,1.0,0.02266497275856029
FERRITIN,1.0,-0.0017596440795305916
FIBRINOGEN,1.0,-0.00020298264131951175
GLUCOSE,1.0,-0.00014776126832606083
HCT,1.0,0.004408864176419937
HGB,1.0,0.00534832046726554
INR,1.0,-0.00015951265287804072
IL6,1.0,-0.015283897441477576
IRON,1.0,0.0
LACTATE,1.0,0.0057181055896342115
LDH,1.0,0.04019566303958743
LYMPHO_PERC,1.0,0.02242834447766874
LYMPHO,1.0,-0.0008928440263633851
MCHC,1.0,3.3100280106257814e-05
MCV,1.0,0.00012988731242397655
MPV,1.0,0.0060018370975102805
MONO_PERC,1.0,0.004426178339387146
MONO,1.0,0.0033477921189993746
NEUTRO_PERC,1.0,0.0024446090308173894
NEUTRO,1.0,0.03342509861936599
O2SAT,1.0,0.00014309443866302316
PCO2,1.0,0.012987814163166295
PH,1.0,0.00015610976245282465
PLT,1.0,0.013768897979872416
PO2,1.0,0.00042253355100992763
POTASSIUM,1.0,0.003460379394827436
PT,1.0,3.611692721818681e-05
PROTEIN,1.0,0.0024814579524857707
RBCCNT,1.0,0.004153820034512461
RDW,1.0,-0.0006936307281153908
SODIUM,1.0,0.0006505869214042531
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,0.0004800123809945756
WBC,1.0,0.031340150557918854
high,2.0,0.002693386276793304
low,2.0,0.00513159421952043
CAC - TEMPERATURE,2.0,0.00019681134984420287
CAC - PULSE OXIMETRY,2.0,0.02522288288742655
CAC - RESPIRATIONS,2.0,0.002550058672225005
CAC - PULSE,2.0,0.01103651504557027
CAC - HEIGHT,2.0,-0.00031103370739267894
CAC - WEIGHT/SCALE,2.0,-0.0014605454868924742
ALBUMIN,2.0,0.019134450863265855
ALKPHOS,2.0,0.003592243351961129
ALT,2.0,-0.006161734229267015
AGAP,2.0,0.030100674873029375
PTT,2.0,0.010476873487727328
AST,2.0,0.002220210245091535
ATYPLYMPH,2.0,0.005372711043199665
BANDS,2.0,-4.198453240148635e-05
DBILIRUBIN,2.0,0.10321697938488489
TBILIRUBIN,2.0,0.020200347717873608
BNP,2.0,0.0
BUN,2.0,0.155534725435709
CRP,2.0,0.008082483768783408
CALCIUMIONIZED,2.0,4.7490784643020236e-05
CALCIUM,2.0,0.0038350501732219945
CHLORIDE,2.0,-0.00011739745319938403
CPK,2.0,0.0039043099008910466
CKMB,2.0,8.793772644264121e-05
BICARB,2.0,0.003807553863573322
CREATININE,2.0,0.09537903691917424
DDIMER,2.0,0.07101099749108034
FERRITIN,2.0,-0.0008852025760161437
FIBRINOGEN,2.0,-9.17498169676059e-05
GLUCOSE,2.0,0.0041378446703592055
HCT,2.0,0.0028265055048998697
HGB,2.0,0.0047017438844733075
INR,2.0,0.0017127506454877432
IL6,2.0,0.000124216575632412
IRON,2.0,0.0
LACTATE,2.0,0.05401780770444715
LDH,2.0,0.016661034234335265
LYMPHO_PERC,2.0,0.017629109437551697
LYMPHO,2.0,-0.0015791463822432917
MCHC,2.0,-3.925776355293291e-06
MCV,2.0,0.001569987299906974
MPV,2.0,0.004261676520899339
MONO_PERC,2.0,0.004045334722431623
MONO,2.0,0.0033960171885565257
NEUTRO_PERC,2.0,0.001381076763051421
NEUTRO,2.0,0.016045692720544236
O2SAT,2.0,0.003217639313075748
PCO2,2.0,0.012778325693613538
PH,2.0,0.0004423803409239511
PLT,2.0,0.014431961957308882
PO2,2.0,0.0012810222259319584
POTASSIUM,2.0,0.010378458720986403
PT,2.0,0.0017011881723764805
PROTEIN,2.0,0.0025447955050187997
RBCCNT,2.0,0.004576099892132426
RDW,2.0,0.0003136761291015247
SODIUM,2.0,2.5539004704635584e-05
TIBC,2.0,0.0
TRANSFERRINSAT,2.0,0.0
TROPONINI,2.0,0.00043136952799779503
WBC,2.0,0.01855908746630226
high,3.0,0.013526498384311535
low,3.0,0.02213929655641448
CAC - TEMPERATURE,3.0,0.0009017684356397278
CAC - PULSE OXIMETRY,3.0,0.0795450142561557
CAC - RESPIRATIONS,3.0,-0.00038446307779636547
CAC - PULSE,3.0,0.0273964286971858
CAC - HEIGHT,3.0,-1.2777910637070898e-07
CAC - WEIGHT/SCALE,3.0,0.0010344497565491747
ALBUMIN,3.0,0.02164501678122352
ALKPHOS,3.0,0.0009396995500872447
ALT,3.0,0.06171573813299191
AGAP,3.0,0.05932596466417104
PTT,3.0,-0.002099821786035644
AST,3.0,0.3728432525443327
ATYPLYMPH,3.0,0.0009122439919687736
BANDS,3.0,0.00046473795202233353
DBILIRUBIN,3.0,-0.017335094603838547
TBILIRUBIN,3.0,0.051216064493984165
BNP,3.0,-0.0003834176940124218
BUN,3.0,0.22948659646475356
CRP,3.0,0.009044375352866214
CALCIUMIONIZED,3.0,0.0005017293912896104
CALCIUM,3.0,0.0015106262854069634
CHLORIDE,3.0,-0.00038139368449588526
CPK,3.0,0.0012805996679461514
CKMB,3.0,0.0004364485474477781
BICARB,3.0,0.0035947185168902314
CREATININE,3.0,0.11371566973946284
