Variable Names,Time Step,Contribution Scores
high,1.0,0.002788597557947272
low,1.0,0.0084112247886194
CAC - TEMPERATURE,1.0,-0.00035538187747069115
CAC - PULSE OXIMETRY,1.0,0.013877435895629689
CAC - RESPIRATIONS,1.0,0.0023076048429312014
CAC - PULSE,1.0,0.003981761125013829
CAC - HEIGHT,1.0,0.0
CAC - WEIGHT/SCALE,1.0,0.0002466789681916078
ALBUMIN,1.0,0.01199880512947665
ALKPHOS,1.0,0.027140855568523924
ALT,1.0,0.37253439061500754
AGAP,1.0,0.027009189378758524
PTT,1.0,0.006033052556450486
AST,1.0,0.6979132523935607
ATYPLYMPH,1.0,0.0
BANDS,1.0,0.01466394199479932
DBILIRUBIN,1.0,-0.004081950868158036
TBILIRUBIN,1.0,0.011386110488280962
BNP,1.0,0.009858510580816143
BUN,1.0,0.054241715452180976
CRP,1.0,0.002047167414108959
CALCIUMIONIZED,1.0,-0.0001255089658817444
CALCIUM,1.0,0.003933701340530958
CHLORIDE,1.0,0.00010454225173551431
CPK,1.0,0.3882879635477166
CKMB,1.0,-0.005806764576356296
BICARB,1.0,5.5301883369034196e-05
CREATININE,1.0,0.060024830733258046
DDIMER,1.0,0.03347634799917842
FERRITIN,1.0,-0.0007600483925547958
FIBRINOGEN,1.0,-0.00019389766138258312
GLUCOSE,1.0,0.013777096648794734
HCT,1.0,0.004707400560464075
HGB,1.0,0.005448004073429169
INR,1.0,0.021272959077700677
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.004921214415794085
LDH,1.0,0.012326699122684647
LYMPHO_PERC,1.0,0.01287694360522333
LYMPHO,1.0,-0.007030261878418683
MCHC,1.0,9.786784272838e-05
MCV,1.0,-0.0009307213375868094
MPV,1.0,0.00535271484855683
MONO_PERC,1.0,0.003411239667148679
MONO,1.0,-0.0010242715689759102
NEUTRO_PERC,1.0,0.002899185874873717
NEUTRO,1.0,0.03661934168880423
O2SAT,1.0,-0.00028870432782878076
PCO2,1.0,0.0022350404600368617
