Variable Names,Time Step,Contribution Scores
high,1.0,0.0064069083929604535
low,1.0,0.009279244545777178
CAC - TEMPERATURE,1.0,-0.00038074859744869374
CAC - PULSE OXIMETRY,1.0,0.041803093422832505
CAC - RESPIRATIONS,1.0,0.0006078126836628653
CAC - PULSE,1.0,0.010651347448607271
CAC - HEIGHT,1.0,0.00032618086621881377
CAC - WEIGHT/SCALE,1.0,0.0013871547236292748
ALBUMIN,1.0,0.013650917854070167
ALKPHOS,1.0,0.0030084378643025125
ALT,1.0,0.017413332005605076
AGAP,1.0,0.02460553880260222
PTT,1.0,0.0007799524843052365
AST,1.0,0.203002147379515
ATYPLYMPH,1.0,-0.0006693964257069432
BANDS,1.0,0.02759450421294863
DBILIRUBIN,1.0,0.07372097018015508
TBILIRUBIN,1.0,0.02741319812207642
BNP,1.0,0.0013873809756409932
BUN,1.0,0.12439195004930136
CRP,1.0,0.006832871647440089
CALCIUMIONIZED,1.0,0.0010740503956583269
CALCIUM,1.0,0.0060640003878209515
CHLORIDE,1.0,0.00040871183690872475
CPK,1.0,0.04361165136579679
CKMB,1.0,0.007236994591111729
BICARB,1.0,0.0015850736120235763
CREATININE,1.0,0.08429011222505307
DDIMER,1.0,0.02290466193852714
FERRITIN,1.0,-0.0031539340729830018
FIBRINOGEN,1.0,0.0009351003703390567
GLUCOSE,1.0,0.01348456901873259
HCT,1.0,-0.00034857356016066327
HGB,1.0,0.0003945957572250018
INR,1.0,0.01982137438065394
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.03622464385498628
LDH,1.0,0.028622329712531522
LYMPHO_PERC,1.0,0.01011483020788835
LYMPHO,1.0,0.003487204747145246
MCHC,1.0,-0.0004279053022445676
MCV,1.0,0.0008944350282208048
MPV,1.0,0.0016887513042947444
MONO_PERC,1.0,0.011085879345648971
MONO,1.0,0.002497254568475788
NEUTRO_PERC,1.0,0.0032297056140251075
NEUTRO,1.0,0.03563884632623375
O2SAT,1.0,0.0011060904781570126
PCO2,1.0,0.009814187442833732
PH,1.0,0.0006563582620271318
PLT,1.0,0.004659680410860032
PO2,1.0,-0.0036351982884913177
POTASSIUM,1.0,0.02173872522445558
PT,1.0,0.014891918660497874
PROTEIN,1.0,0.004139692092553199
RBCCNT,1.0,-9.245599359778452e-05
RDW,1.0,-0.0014946733813498813
SODIUM,1.0,0.0013054327748256087
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,-0.0007734484539397577
WBC,1.0,0.0395057577735217
high,2.0,0.009162734565785957
low,2.0,0.011080489058654776
CAC - TEMPERATURE,2.0,-0.00032859016427110103
CAC - PULSE OXIMETRY,2.0,0.055125577191151194
CAC - RESPIRATIONS,2.0,0.0038579161626836147
CAC - PULSE,2.0,0.00984590862940145
CAC - HEIGHT,2.0,0.0
CAC - WEIGHT/SCALE,2.0,-0.009009483135614811
ALBUMIN,2.0,0.027842092546006843
ALKPHOS,2.0,0.0022419847463507232
ALT,2.0,0.03138652284490875
AGAP,2.0,0.04521810751076475
PTT,2.0,-0.000530858329298812
AST,2.0,0.12914307901499916
ATYPLYMPH,2.0,0.0
BANDS,2.0,0.006468771778733223
DBILIRUBIN,2.0,-0.012289304030412824
TBILIRUBIN,2.0,-0.006901757987318079
BNP,2.0,0.008638769533063228
BUN,2.0,0.1831965545556789
CRP,2.0,0.023994566356239002
CALCIUMIONIZED,2.0,-1.1409990949158614e-05
CALCIUM,2.0,0.009181601747619129
CHLORIDE,2.0,-0.000481132943152039
CPK,2.0,0.024961838215150838
CKMB,2.0,0.008983852791710252
BICARB,2.0,0.0022570610385010074
CREATININE,2.0,0.08580365358437006
DDIMER,2.0,0.059568622512815604
FERRITIN,2.0,0.015612614192996385
FIBRINOGEN,2.0,-0.0004072726850241842
GLUCOSE,2.0,0.019028425835029592
HCT,2.0,0.0019176436870364123
HGB,2.0,0.0029466473300957755
INR,2.0,0.016579643160569098
IL6,2.0,0.03262962267172722
IRON,2.0,0.0
LACTATE,2.0,0.03524082479148533
LDH,2.0,0.15430004195065508
LYMPHO_PERC,2.0,0.009804484688100787
LYMPHO,2.0,0.0017071130788148597
MCHC,2.0,0.00010479576025246102
MCV,2.0,0.0017145511462505242
MPV,2.0,0.005955513983958049
MONO_PERC,2.0,0.01311062464979669
MONO,2.0,0.0011164771453471732
NEUTRO_PERC,2.0,0.0034272579844643585
NEUTRO,2.0,0.07516732535914154
O2SAT,2.0,0.007889837389440867
PCO2,2.0,0.025639600931949977
PH,2.0,0.0016625523333198698
PLT,2.0,0.012303563507215252
PO2,2.0,-0.00031708580111486514
POTASSIUM,2.0,0.03372769592588814
PT,2.0,0.01622154528424737
PROTEIN,2.0,0.009337298331821474
RBCCNT,2.0,0.00685888202710489
RDW,2.0,-0.0019617112664242374
SODIUM,2.0,-0.0009191685138857644
TIBC,2.0,0.0
TRANSFERRINSAT,2.0,0.0
TROPONINI,2.0,0.0005478805137498467
WBC,2.0,0.052649838785080484
high,3.0,0.02436249692841016
low,3.0,0.027722619382749652
CAC - TEMPERATURE,3.0,-7.239046040246662e-05
CAC - PULSE OXIMETRY,3.0,0.062204591799094065
CAC - RESPIRATIONS,3.0,-0.0007134531682150901
CAC - PULSE,3.0,0.013270092294510616
CAC - HEIGHT,3.0,0.0013599221979060645
CAC - WEIGHT/SCALE,3.0,-0.005552698352075304
ALBUMIN,3.0,0.017025057931300797
ALKPHOS,3.0,-0.00515736225896419
ALT,3.0,0.0936239674547217
AGAP,3.0,0.04708172694059249
PTT,3.0,0.003953858791826305
AST,3.0,0.2586384766313272
ATYPLYMPH,3.0,0.0
BANDS,3.0,-0.000115097273901005
DBILIRUBIN,3.0,-0.0273005394203747
TBILIRUBIN,3.0,-0.0004827247993816378
BNP,3.0,0.0
BUN,3.0,0.17947636786186463
CRP,3.0,0.0037112641104018245
CALCIUMIONIZED,3.0,-0.0003462635960745869
CALCIUM,3.0,0.003945810050241961
CHLORIDE,3.0,-4.4792319390917245e-05
CPK,3.0,0.044841396548530754
CKMB,3.0,0.0
BICARB,3.0,0.0014099871636929
CREATININE,3.0,0.08053410845378138
DDIMER,3.0,0.009659406879025447
FERRITIN,3.0,-0.011612744086004469
FIBRINOGEN,3.0,-0.0008625643908835866
GLUCOSE,3.0,0.022509349992505406
HCT,3.0,-7.822503191207229e-05
HGB,3.0,0.0012912290226028402
INR,3.0,0.002814708419904516
IL6,3.0,-0.0010426783442746064
IRON,3.0,0.0
LACTATE,3.0,0.3725608460717664
LDH,3.0,0.03437087290941752
LYMPHO_PERC,3.0,0.0059943144502691914
LYMPHO,3.0,0.0017394390698654903
MCHC,3.0,-0.00132571478861152
MCV,3.0,-0.0016508564832435353
MPV,3.0,0.0046434866669215
MONO_PERC,3.0,0.014194312688574276
MONO,3.0,0.004358583814660369
NEUTRO_PERC,3.0,0.0030331136604021206
NEUTRO,3.0,0.04351333243439231
O2SAT,3.0,0.010930037901683077
PCO2,3.0,0.009554223790010797
PH,3.0,0.0013193593626221324
PLT,3.0,0.0075293330343111885
PO2,3.0,-0.005083544592717536
POTASSIUM,3.0,0.026148947046882292
PT,3.0,0.003144285115052445
PROTEIN,3.0,0.0041678458107099305
RBCCNT,3.0,-0.0012250062800286915
RDW,3.0,-0.0009701590200079735
SODIUM,3.0,0.0012375622795407245
TIBC,3.0,0.0
TRANSFERRINSAT,3.0,0.0
TROPONINI,3.0,-0.0003613394979643793
WBC,3.0,0.025683676010281018
high,4.0,0.03355887515289028
low,4.0,0.04729137656929659
CAC - TEMPERATURE,4.0,-0.0005817509228603216
CAC - PULSE OXIMETRY,4.0,0.3330516090503037
CAC - RESPIRATIONS,4.0,-0.019001265988989692
CAC - PULSE,4.0,-0.002302431070255851
CAC - HEIGHT,4.0,0.017401618409871006
CAC - WEIGHT/SCALE,4.0,1.9213507437608412e-05
ALBUMIN,4.0,0.021570112528092645
ALKPHOS,4.0,-0.002419176129754637
ALT,4.0,0.2003544669745239
AGAP,4.0,0.057730028492344265
PTT,4.0,0.006673157936444863
AST,4.0,0.4404822567041949
ATYPLYMPH,4.0,0.0016249395933062307
BANDS,4.0,0.043285690461213396
DBILIRUBIN,4.0,-0.016772198856469765
TBILIRUBIN,4.0,-0.009015217343338749
BNP,4.0,0.0
BUN,4.0,0.16554794076184862
CRP,4.0,0.02948305802745859
CALCIUMIONIZED,4.0,0.003429799989402233
CALCIUM,4.0,0.006764718846810177
CHLORIDE,4.0,0.000931846338981445
CPK,4.0,0.0
CKMB,4.0,0.0
BICARB,4.0,0.0025377996819255207
CREATININE,4.0,0.09003233956254299
DDIMER,4.0,0.040354687518544506
FERRITIN,4.0,-0.0020510442711446026
FIBRINOGEN,4.0,9.513733824280867e-05
GLUCOSE,4.0,0.005224857114410842
HCT,4.0,-0.00021720130718847836
HGB,4.0,-0.001010984539920485
INR,4.0,0.01344455904313955
IL6,4.0,0.008137525173032832
IRON,4.0,0.0
