Demographic Features,median_value,irq
high,108.0,19.0
low,58.0,10.0
CAC - TEMPERATURE,97.9,1.2999999999999972
CAC - PULSE OXIMETRY,94.0,5.0
CAC - RESPIRATIONS,21.0,7.0
CAC - PULSE,83.0,20.0
CAC - HEIGHT,65.0,4.534999999999997
CAC - WEIGHT/SCALE,71.668,19.262500000000003
ALBUMIN,1.9,0.6000000000000001
ALKPHOS,84.0,37.0
ALT,28.0,23.0
AGAP,11.4,3.799999999999999
PTT,35.8,13.400000000000002
AST,35.0,27.0
ATYPLYMPH,1.0,1.0
BANDS,4.0,4.0
DBILIRUBIN,0.3,0.2
TBILIRUBIN,0.5,0.29999999999999993
BNP,92.22,158.59
BUN,31.0,28.0
CRP,83.2,88.92999999999999
CALCIUMIONIZED,1.15,0.09999999999999987
CALCIUM,7.6,0.7999999999999998
CHLORIDE,101.0,7.0
CPK,128.0,226.5
CKMB,3.4,3.125
BICARB,21.1,5.0
CREATININE,1.08,1.1
DDIMER,2.12,1.9000000000000001
FERRITIN,962.0,1022.5
FIBRINOGEN,486.0,230.0
GLUCOSE,123.0,54.0
HCT,26.3,6.800000000000001
HGB,8.4,2.0
INR,1.2,0.19999999999999996
IL6,81.1,115.39999999999999
IRON,20.5,15.25
LACTATE,1.6,0.77
LDH,500.0,223.0
LYMPHO_PERC,4.6,4.0
LYMPHO,0.6,0.4
MCHC,30.3,2.5
MCV,89.6,6.299999999999997
MPV,8.5,1.1999999999999993
MONO_PERC,3.0,2.2
MONO,0.4,0.3
NEUTRO_PERC,84.0,11.600000000000009
NEUTRO,8.0,4.700000000000001
O2SAT,72.1,26.724999999999994
PCO2,39.0,9.0
PH,7.33,0.1200000000000001
PLT,156.0,106.0
PO2,42.0,17.0
POTASSIUM,4.1,0.7000000000000002
PT,15.1,1.9000000000000021
PROTEIN,5.4,0.8999999999999995
RBCCNT,2.84,0.73
RDW,14.0,2.0
SODIUM,138.0,6.0
TIBC,138.0,43.0
TRANSFERRINSAT,15.0,10.25
TROPONINI,0.074,0.143
WBC,10.4,6.4
