Demographic Features,median_value,irq
high,109.0,18.0
low,59.0,10.0
CAC - TEMPERATURE,97.9,1.3999999999999915
CAC - PULSE OXIMETRY,95.0,5.0
CAC - RESPIRATIONS,21.0,7.0
CAC - PULSE,82.0,20.0
CAC - HEIGHT,65.0,4.991999999999997
CAC - WEIGHT/SCALE,73.7,19.259000000000007
ALBUMIN,2.0,0.5999999999999999
ALKPHOS,85.0,41.0
ALT,30.0,27.0
AGAP,10.5,3.299999999999999
PTT,35.4,12.700000000000003
AST,34.0,24.0
ATYPLYMPH,1.0,1.0
BANDS,4.0,4.0
DBILIRUBIN,0.3,0.2
TBILIRUBIN,0.5,0.29999999999999993
BNP,77.09,111.03500000000001
BUN,25.0,22.0
CRP,60.19,76.30000000000001
CALCIUMIONIZED,1.15,0.08999999999999986
CALCIUM,7.7,0.7000000000000002
CHLORIDE,101.0,7.0
CPK,109.0,179.0
CKMB,3.1,3.6
BICARB,22.0,4.899999999999999
CREATININE,0.91,0.8099999999999999
DDIMER,2.04,1.86
FERRITIN,884.0,895.0
FIBRINOGEN,487.0,214.0
GLUCOSE,122.0,49.0
HCT,25.6,5.5
HGB,8.3,1.5999999999999996
INR,1.2,0.19999999999999996
IL6,68.6,109.0
IRON,22.0,15.5
LACTATE,1.41,0.7
LDH,452.0,205.0
LYMPHO_PERC,5.3,4.9
LYMPHO,0.7,0.5
MCHC,30.4,2.6000000000000014
MCV,89.1,6.1000000000000085
MPV,8.4,1.2000000000000002
MONO_PERC,3.5,3.0
MONO,0.4,0.3
NEUTRO_PERC,81.0,13.0
NEUTRO,7.5,4.199999999999999
O2SAT,75.7,23.4
PCO2,40.0,8.0
PH,7.36,0.09999999999999964
PLT,176.0,118.0
PO2,43.0,16.0
POTASSIUM,4.0,0.5999999999999996
PT,14.8,1.8000000000000007
PROTEIN,5.4,0.8999999999999995
RBCCNT,2.79,0.6100000000000003
RDW,14.3,2.200000000000001
SODIUM,138.0,5.0
TIBC,151.0,51.0
TRANSFERRINSAT,13.0,11.0
TROPONINI,0.06,0.11100000000000002
WBC,10.3,5.799999999999999
