Demographic Features,median_value,irq
high,111.0,19.0
low,60.0,10.0
CAC - TEMPERATURE,98.1,1.3999999999999915
CAC - PULSE OXIMETRY,95.0,4.0
CAC - RESPIRATIONS,21.0,7.0
CAC - PULSE,82.0,21.0
CAC - HEIGHT,64.606,3.975999999999992
CAC - WEIGHT/SCALE,72.8,17.5
ALBUMIN,1.9,0.6000000000000001
ALKPHOS,87.0,42.0
ALT,32.0,29.0
AGAP,10.0,3.5
PTT,34.5,10.399999999999999
AST,34.0,24.0
ATYPLYMPH,1.0,0.0
BANDS,3.0,3.0
DBILIRUBIN,0.3,0.2
TBILIRUBIN,0.5,0.29999999999999993
BNP,76.1,91.5
BUN,25.0,22.0
CRP,49.1,70.02000000000001
CALCIUMIONIZED,1.15,0.07999999999999985
CALCIUM,7.7,0.7000000000000002
CHLORIDE,102.0,6.0
CPK,94.5,150.0
CKMB,3.2,3.8000000000000003
BICARB,23.0,5.0
CREATININE,0.87,0.7000000000000001
DDIMER,2.13,1.76
FERRITIN,787.0,802.0
FIBRINOGEN,491.5,210.0
GLUCOSE,120.0,43.0
HCT,25.1,4.600000000000001
HGB,8.1,1.3000000000000007
INR,1.2,0.19999999999999996
IL6,71.8,113.30000000000001
IRON,25.5,20.25
LACTATE,1.34,0.6799999999999999
LDH,429.0,177.0
LYMPHO_PERC,5.4,4.675
LYMPHO,0.7,0.5
MCHC,30.4,2.8000000000000007
MCV,89.3,6.400000000000006
MPV,8.3,1.3000000000000007
MONO_PERC,4.0,2.9000000000000004
MONO,0.5,0.3
NEUTRO_PERC,80.2,12.0
NEUTRO,7.5,3.8000000000000007
O2SAT,79.0,21.700000000000003
PCO2,41.0,8.0
PH,7.36,0.10000000000000053
PLT,194.0,125.0
PO2,44.0,17.0
POTASSIUM,3.9,0.6000000000000001
PT,14.8,1.5999999999999996
PROTEIN,5.4,0.7999999999999998
RBCCNT,2.73,0.5499999999999998
RDW,14.7,2.0999999999999996
SODIUM,138.0,5.0
TIBC,151.0,49.0
TRANSFERRINSAT,12.0,11.0
TROPONINI,0.05,0.0755
WBC,10.4,5.1
