Demographic Features,mean_value,irq
high,106.2218149487087,19.0
low,57.06057210763093,10.0
CAC - TEMPERATURE,97.62456074818074,1.2999999999999972
CAC - PULSE OXIMETRY,92.4523567716112,5.0
CAC - RESPIRATIONS,20.81021610287612,7.0
CAC - PULSE,81.30213424241556,20.0
CAC - HEIGHT,63.78360285714285,4.534999999999997
CAC - WEIGHT/SCALE,72.47257964362852,19.262500000000003
ALBUMIN,1.886593833904268,0.6000000000000001
ALKPHOS,85.01504559270516,37.0
ALT,30.423920168985358,23.0
AGAP,11.156726182363363,3.799999999999999
PTT,37.70170152428217,13.400000000000002
AST,39.446414002818365,27.0
ATYPLYMPH,1.4529085872576177,1.0
BANDS,4.06285140562249,4.0
DBILIRUBIN,0.32788509162951956,0.2
TBILIRUBIN,0.5261764292737745,0.29999999999999993
BNP,131.8549854227405,158.59
BUN,33.3710292249047,28.0
CRP,88.88868103994926,88.92999999999999
CALCIUMIONIZED,1.1225263157894738,0.09999999999999987
CALCIUM,7.5126074309136595,0.7999999999999998
CHLORIDE,100.24744647700386,7.0
CPK,198.10898203592814,226.5
CKMB,3.7347972972972974,3.125
BICARB,20.631877996531674,5.0
CREATININE,1.3006376831071094,1.1
DDIMER,2.1943529059316957,1.9000000000000001
FERRITIN,1127.5478556485355,1022.5
FIBRINOGEN,464.2403258655805,230.0
GLUCOSE,124.28023381192895,54.0
HCT,26.548113719636312,6.800000000000001
HGB,8.526996641845525,2.0
INR,1.2168611049966984,0.19999999999999996
IL6,102.55787545787545,115.39999999999999
IRON,24.183333333333334,15.25
LACTATE,1.6296337266470011,0.77
LDH,498.5169188445667,223.0
LYMPHO_PERC,4.849843912591051,4.0
LYMPHO,0.6279685264663806,0.4
MCHC,29.847840765227176,2.5
MCV,88.30252621208922,6.299999999999997
MPV,8.416687974731142,1.1999999999999993
MONO_PERC,3.0633721628437613,2.2
MONO,0.3542331881954524,0.3
NEUTRO_PERC,79.12354389721628,11.600000000000009
NEUTRO,7.8591760879665475,4.700000000000001
O2SAT,67.2695991091314,26.724999999999994
PCO2,39.00310853530031,9.0
PH,7.29958112407211,0.1200000000000001
PLT,147.88403041825094,106.0
PO2,41.44652014652014,17.0
POTASSIUM,4.08706945874814,0.7000000000000002
PT,15.1355722954593,1.9000000000000021
PROTEIN,5.3092482690405545,0.8999999999999995
RBCCNT,2.8712966689023025,0.73
RDW,13.997180370210932,2.0
SODIUM,137.50251896461867,6.0
TIBC,133.97196261682242,43.0
TRANSFERRINSAT,14.482142857142858,10.25
TROPONINI,0.1310450411433521,0.143
WBC,10.159160074293185,6.4
