Demographic Features,mean_value,irq
high,108.06467632928444,18.0
low,58.87210518452114,10.0
CAC - TEMPERATURE,97.69294585044018,1.3999999999999915
CAC - PULSE OXIMETRY,93.7017216155494,5.0
CAC - RESPIRATIONS,20.52707981572968,7.0
CAC - PULSE,80.27769088412632,20.0
CAC - HEIGHT,63.560975903614455,4.991999999999997
CAC - WEIGHT/SCALE,71.8017582515611,19.700000000000003
ALBUMIN,1.9342883778744562,0.5999999999999999
ALKPHOS,87.6567155787935,41.0
ALT,33.9780060228006,27.0
AGAP,10.259920833750877,3.3000000000000007
PTT,36.73115468409586,12.224999999999998
AST,37.3153953889248,23.0
ATYPLYMPH,1.4553231939163498,1.0
BANDS,3.9523827392120077,4.0
DBILIRUBIN,0.3179673849737915,0.2
TBILIRUBIN,0.523846934958046,0.29999999999999993
BNP,112.46977528089887,127.94000000000003
BUN,27.291832279012485,22.0
CRP,64.24831761712319,75.7
CALCIUMIONIZED,1.1290262865605332,0.08999999999999986
CALCIUM,7.569336645962733,0.7000000000000002
CHLORIDE,100.05330359875815,7.0
CPK,153.7,166.0
CKMB,3.711176470588236,3.8000000000000003
BICARB,21.542107029647585,5.0
CREATININE,1.0685867933966986,0.7699999999999999
DDIMER,2.1377250996015937,1.89
FERRITIN,979.9785775492717,875.5
FIBRINOGEN,464.44892307692305,213.0
GLUCOSE,123.19975927616834,49.0
HCT,25.78667287977633,5.5
HGB,8.32614519857113,1.6999999999999993
INR,1.171584229390681,0.19999999999999996
IL6,91.21545801526717,112.12499999999999
IRON,23.562162162162164,16.0
LACTATE,1.4266049863654071,0.6774999999999998
LDH,452.7653907214676,204.0
LYMPHO_PERC,5.62338677193265,5.0
LYMPHO,0.7673206848681166,0.5
MCHC,29.912678639663735,2.6000000000000014
MCV,87.8175164936327,6.099999999999994
MPV,8.273046364823683,1.2000000000000002
MONO_PERC,3.538841219947328,3.0
MONO,0.41964585079631184,0.3
NEUTRO_PERC,76.67348770553627,13.399999999999991
NEUTRO,7.2877812177502586,4.2
O2SAT,70.7407561436673,23.199999999999996
PCO2,39.74732770745429,8.0
PH,7.3290639032815195,0.09999999999999964
PLT,171.86246840775064,116.0
PO2,42.582313406437926,16.0
POTASSIUM,3.963114127747561,0.5999999999999996
PT,14.855078416728901,1.6999999999999993
PROTEIN,5.283372235872236,0.8999999999999995
RBCCNT,2.811565020974508,0.6200000000000001
RDW,14.252424273751679,2.200000000000001
SODIUM,137.03658853040395,5.0
TIBC,151.23529411764707,51.75
TRANSFERRINSAT,13.436507936507937,11.75
TROPONINI,0.10851367521367522,0.11100000000000002
WBC,10.09571120797635,5.699999999999999
