Demographic Features,mean_value,irq
high,107.33187528753938,19.0
low,58.153421487372874,10.0
CAC - TEMPERATURE,97.78531175214225,1.4000000000000057
CAC - PULSE OXIMETRY,93.60481265407996,5.0
CAC - RESPIRATIONS,21.0408921198712,8.0
CAC - PULSE,80.90395358730663,20.0
CAC - HEIGHT,63.79961251504212,4.082999999999998
CAC - WEIGHT/SCALE,72.43258048780488,18.0775
ALBUMIN,1.8567724701445631,0.5
ALKPHOS,90.17795493934142,43.0
ALT,34.87903547229972,27.0
AGAP,10.326979028906102,3.6000000000000014
PTT,37.3525779840165,12.899999999999999
AST,38.73768644348691,25.0
ATYPLYMPH,1.2848101265822784,1.0
BANDS,4.031025056947608,4.0
DBILIRUBIN,0.3211194029850746,0.2
TBILIRUBIN,0.5203931203931205,0.29999999999999993
BNP,93.1667489711934,107.74
BUN,30.626205731183553,25.0
CRP,70.57666793820331,79.585
CALCIUMIONIZED,1.1274541852402178,0.08999999999999986
CALCIUM,7.50039675042509,0.7000000000000002
CHLORIDE,99.9801784504179,7.0
CPK,159.1045627376426,180.5
CKMB,3.947014925373135,3.7249999999999996
BICARB,21.478139114724478,5.099999999999998
CREATININE,1.1533489313266725,0.9
DDIMER,2.274579462716545,1.9
FERRITIN,1053.7820707618841,933.0
FIBRINOGEN,477.45858662613983,211.25
GLUCOSE,126.22051580786952,48.0
HCT,25.436528320615423,5.0
HGB,8.228848301688457,1.5
INR,1.1795990775235055,0.19999999999999996
IL6,99.92222222222222,113.95000000000002
IRON,24.671641791044777,18.75
LACTATE,1.4250719336747133,0.6699999999999999
LDH,470.76538804638716,200.0
LYMPHO_PERC,4.9972655437720945,4.0
LYMPHO,0.7132686476652517,0.4
MCHC,29.969495698890345,2.5
MCV,88.21149845916796,6.299999999999997
MPV,8.325358490566039,1.2000000000000002
MONO_PERC,3.355805648739314,2.8
MONO,0.4190045859185325,0.3
NEUTRO_PERC,78.72675128841381,12.0
NEUTRO,7.847350013451709,4.1
O2SAT,71.84669950738916,21.974999999999994
PCO2,40.194136960600375,9.0
PH,7.3120771084337335,0.1200000000000001
PLT,169.30851701405075,118.0
PO2,43.123051948051945,15.0
POTASSIUM,3.964181607865818,0.5999999999999996
PT,14.945964432284542,1.700000000000001
PROTEIN,5.203029593191223,0.7999999999999998
RBCCNT,2.7670919362431903,0.5899999999999999
RDW,14.339462983282772,2.1999999999999993
SODIUM,137.56237770373897,6.0
TIBC,151.17460317460316,51.0
TRANSFERRINSAT,14.478260869565217,11.0
TROPONINI,0.10282108626198083,0.10750000000000001
WBC,10.814178794178794,5.700000000000001
