Demographic Features,mean_value,iqr
Systolic,112.367925682769,21
Diastolic,62.0983565585528,12
CAC - TEMPERATURE,97.6032017319371,1
CAC - PULSE OXIMETRY,93.5115349381115,4
CAC - RESPIRATIONS,19.2203886283485,4
CAC - PULSE,81.1100994167189,20
CAC - HEIGHT,63.7526382691007,4
CAC - WEIGHT/SCALE,68.2415616750419,18.6
ALBUMIN,2.17535346201166,0.6
ALKPHOS,77.9721871555956,32
ALT,27.7327069558829,22
AGAP,10.3212770398199,3.1
PTT,35.8909301393651,10.6
AST,31.8250142081643,19
ATYPLYMPH,1.53944580277099,1
BANDS,3.67424242424242,3
DBILIRUBIN,0.289806716337329,0.2
TBILIRUBIN,0.495416485428447,0.2
BNP,58.8847539267016,60.62
BUN,22.399638730574,17
CRP,55.9873739130435,67.63
CALCIUMIONIZED,1.13566817434211,0.09
CALCIUM,7.84617016191671,0.800000000000001
CHLORIDE,100.966202046036,6
CPK,62.8781442146451,57
CKMB,3.3779020979021,3.35
BICARB,22.3797802126345,4.9
CREATININE,0.984765245785897,0.55
DDIMER,1.68867673343606,1.61
FERRITIN,121.614761476148,100.75
FIBRINOGEN,165.029585798817,81
GLUCOSE,106.849480783642,38
HCT,28.5985548663217,8.5
HGB,9.22349977575124,2.7
INR,1.15516792943571,0.1
IL6,41.4562167906483,48.9
IRON,27.5531135531136,19
LACTATE,1.43691139903154,0.7
LDH,212.018011257036,52
LYMPHO_PERC,8.67535349192701,7.6
LYMPHO,0.826672006407689,0.5
MCHC,30.0578984425822,2.9
MCV,88.1086457606023,6.60000000000001
MPV,8.22381574498171,1.3
MONO_PERC,4.97804626385756,4
MONO,0.438437793178585,0.3
NEUTRO_PERC,71.1434341263017,16.3
NEUTRO,5.79970898811009,4
O2SAT,70.7425463557922,27.1
PCO2,39.2241848075687,8.2
PH,7.34963186655163,0.07
PLT,143.654655099973,86
PO2,43.1095868985187,18
POTASSIUM,4.01542359699957,0.7
PT,14.6278174623568,1.7
PROTEIN,5.61217838107289,0.9
RBCCNT,3.13260124020195,0.97
RDW,14.1224911380027,2.4
SODIUM,137.141693056306,5
TIBC,149.375,45
TRANSFERRINSAT,14.7402862985685,11
TROPONINI,0.067059008536768,0.074
WBC,8.20853867541821,5.1
