Variable Names,Time Step,Contribution Scores
high,1.0,0.023832477331643943
low,1.0,0.0504824877382517
CAC - TEMPERATURE,1.0,-0.0004045043151761858
CAC - PULSE OXIMETRY,1.0,0.28001107518329904
CAC - RESPIRATIONS,1.0,0.042400964169448815
CAC - PULSE,1.0,0.09627999370005905
CAC - HEIGHT,1.0,-0.0003767193073021735
CAC - WEIGHT/SCALE,1.0,0.0009478283783860141
ALBUMIN,1.0,0.18067200293414387
ALKPHOS,1.0,0.03534716347346113
ALT,1.0,0.21090260672289846
AGAP,1.0,0.33800495059388647
PTT,1.0,0.043585083377845134
AST,1.0,2.959749228869012
ATYPLYMPH,1.0,0.030192419928129
BANDS,1.0,0.08933084445587988
DBILIRUBIN,1.0,0.18315234830435348
TBILIRUBIN,1.0,0.11462430958587863
BNP,1.0,-0.06386911901257311
BUN,1.0,1.1449421673439526
CRP,1.0,0.38650635419672436
CALCIUMIONIZED,1.0,0.00587187480654948
CALCIUM,1.0,0.05417110374346342
CHLORIDE,1.0,0.0031011434211696133
CPK,1.0,0.5600005054253233
CKMB,1.0,0.009206746508148383
BICARB,1.0,0.03923955620768348
CREATININE,1.0,0.6438426445976985
DDIMER,1.0,0.5886058969981082
FERRITIN,1.0,0.10758572613601361
FIBRINOGEN,1.0,-0.006621200907579769
GLUCOSE,1.0,0.12539163559717975
HCT,1.0,0.00511984893255746
HGB,1.0,0.005324669989807051
INR,1.0,0.08670413457379854
IL6,1.0,0.47367558225378925
IRON,1.0,0.06455148011445999
LACTATE,1.0,0.870403272786349
LDH,1.0,0.4476453309640066
LYMPHO_PERC,1.0,0.16334898030235032
LYMPHO,1.0,0.03630649025721057
MCHC,1.0,-3.393156746813533e-05
MCV,1.0,0.010756450849313395
MPV,1.0,0.03430035554039443
MONO_PERC,1.0,0.19581529472465056
MONO,1.0,0.0031434871810345224
NEUTRO_PERC,1.0,0.05878039903667296
NEUTRO,1.0,0.5220887666190315
O2SAT,1.0,0.007506558980078982
PCO2,1.0,0.18467936842182978
PH,1.0,0.014968110897000602
PLT,1.0,0.10705146418491167
PO2,1.0,0.0060967384036301085
POTASSIUM,1.0,0.15417406012801557
PT,1.0,0.06950282582430403
PROTEIN,1.0,0.04800404308169763
RBCCNT,1.0,0.014109755533780058
RDW,1.0,-0.008890594849415939
SODIUM,1.0,0.008213383480745174
TIBC,1.0,0.011994159035384654
TRANSFERRINSAT,1.0,-0.053601032495498656
TROPONINI,1.0,0.04186446830672612
WBC,1.0,0.6330479809093477
high,2.0,0.11246608789314849
low,2.0,0.1450642901389474
CAC - TEMPERATURE,2.0,0.0023523968679534366
CAC - PULSE OXIMETRY,2.0,0.5573601337533373
CAC - RESPIRATIONS,2.0,0.025287707839550023
CAC - PULSE,2.0,0.11344910249207182
CAC - HEIGHT,2.0,-0.006749168650094362
CAC - WEIGHT/SCALE,2.0,-0.004549718328982171
ALBUMIN,2.0,0.22748112565069234
ALKPHOS,2.0,0.044651723657428796
ALT,2.0,0.09624730482798352
AGAP,2.0,0.3755304083407485
PTT,2.0,0.06349290303329445
AST,2.0,1.8857732250953425
ATYPLYMPH,2.0,0.03471924668139592
BANDS,2.0,0.026740172659346945
DBILIRUBIN,2.0,0.20752152926503128
TBILIRUBIN,2.0,0.09517468550206157
BNP,2.0,0.03441585704684257
BUN,2.0,1.3221056998196736
CRP,2.0,0.3815079623256556
CALCIUMIONIZED,2.0,0.0011805388081586226
CALCIUM,2.0,0.06283521672247573
CHLORIDE,2.0,-0.0003939830083089779
CPK,2.0,0.11616627688652859
CKMB,2.0,-0.0063067992775229075
BICARB,2.0,0.043592330873764275
CREATININE,2.0,0.6661156569459594
DDIMER,2.0,1.0595783993477723
FERRITIN,2.0,0.20925673142085763
FIBRINOGEN,2.0,0.0015713838270545136
GLUCOSE,2.0,0.1736968298212942
HCT,2.0,0.004310457400212858
