Variable Names,Time Step,Contribution Scores
high,1.0,0.025224147456719765
low,1.0,0.04169279709631385
CAC - TEMPERATURE,1.0,0.002514799558771058
CAC - PULSE OXIMETRY,1.0,0.2702975246760149
CAC - RESPIRATIONS,1.0,0.02556046311988245
CAC - PULSE,1.0,0.08714015760243447
CAC - HEIGHT,1.0,-0.007868242014413492
CAC - WEIGHT/SCALE,1.0,0.0016717403780836357
ALBUMIN,1.0,0.17091137749985805
ALKPHOS,1.0,0.036718956159220106
ALT,1.0,0.38357831240368434
AGAP,1.0,0.35122560025049593
PTT,1.0,0.08090925045568863
AST,1.0,2.5585210883041647
ATYPLYMPH,1.0,0.021623364036716716
BANDS,1.0,0.09337085722493986
DBILIRUBIN,1.0,0.09432556174176182
TBILIRUBIN,1.0,0.10391592606174974
BNP,1.0,-0.10425979204592295
BUN,1.0,1.241112466223666
CRP,1.0,0.36152835583078613
CALCIUMIONIZED,1.0,0.007098329429899848
CALCIUM,1.0,0.07345623544539732
CHLORIDE,1.0,0.0024098411325357626
CPK,1.0,0.42367349128993137
CKMB,1.0,-0.04772998454705692
BICARB,1.0,0.041997359046834604
CREATININE,1.0,0.6074075128680193
DDIMER,1.0,0.47018137866302795
FERRITIN,1.0,0.18076733130274253
FIBRINOGEN,1.0,0.001476544156873117
GLUCOSE,1.0,0.1559763021429159
HCT,1.0,0.006832994365485534
HGB,1.0,0.007087495765042623
INR,1.0,0.09132477397224828
IL6,1.0,0.01317156428346343
IRON,1.0,0.054437332414090635
LACTATE,1.0,0.7900692694062805
LDH,1.0,0.4596972464989135
LYMPHO_PERC,1.0,0.17350393256243588
LYMPHO,1.0,0.08939706618562511
MCHC,1.0,-0.00017638314158803726
MCV,1.0,0.011516475273885139
MPV,1.0,0.0342173803348791
MONO_PERC,1.0,0.18963851980574714
MONO,1.0,0.016346758842774388
NEUTRO_PERC,1.0,0.045678571896568314
NEUTRO,1.0,0.5575055636150391
O2SAT,1.0,0.006908443106548085
PCO2,1.0,0.13017028273770576
PH,1.0,0.013570435166896313
PLT,1.0,0.11022501009432255
PO2,1.0,0.00018878635050262153
POTASSIUM,1.0,0.16400509537876573
PT,1.0,0.043624912810138805
PROTEIN,1.0,0.039603862922532804
RBCCNT,1.0,0.018685699040933552
RDW,1.0,-0.01098047663781304
SODIUM,1.0,0.013140327269475588
TIBC,1.0,0.026333867385983468
TRANSFERRINSAT,1.0,-0.022931665182113647
TROPONINI,1.0,0.02770446989818081
WBC,1.0,0.5939934406847233
high,2.0,0.13616518753714452
low,2.0,0.1344861929157813
CAC - TEMPERATURE,2.0,0.008881790015305823
CAC - PULSE OXIMETRY,2.0,0.5849093183912392
CAC - RESPIRATIONS,2.0,0.014499279996679448
CAC - PULSE,2.0,0.11786257045712185
CAC - HEIGHT,2.0,0.0005185779550902225
CAC - WEIGHT/SCALE,2.0,-0.0046880494718857975
ALBUMIN,2.0,0.2042602376533691
ALKPHOS,2.0,0.04997335148982167
ALT,2.0,0.11692724830335328
AGAP,2.0,0.36256316595156185
PTT,2.0,0.07864754863944923
AST,2.0,1.5943343279175834
ATYPLYMPH,2.0,0.023810685620859036
BANDS,2.0,0.0252132610856164
DBILIRUBIN,2.0,0.4428786048318778
TBILIRUBIN,2.0,0.13263372416689514
BNP,2.0,0.05331923331535108
BUN,2.0,1.297869042798322
CRP,2.0,0.3505474250250172
CALCIUMIONIZED,2.0,-0.0017293395319015654
CALCIUM,2.0,0.0814224340652937
CHLORIDE,2.0,-0.0008520302004969523
CPK,2.0,0.16022171684269354
CKMB,2.0,0.027703280775695855
BICARB,2.0,0.045521480499485116
CREATININE,2.0,0.531887730987576
DDIMER,2.0,0.5039154897518776
FERRITIN,2.0,0.47718585753358556
FIBRINOGEN,2.0,-0.0028384921769755824
GLUCOSE,2.0,0.21011876586256828
HCT,2.0,0.005066651982578075
HGB,2.0,0.008009606656914182
INR,2.0,0.1633484954852733
IL6,2.0,0.006357677895626079
IRON,2.0,0.03999898807378486
LACTATE,2.0,0.8504900364641974
LDH,2.0,2.1928097280882164
LYMPHO_PERC,2.0,0.13154728127584991
LYMPHO,2.0,0.054486693798824024
MCHC,2.0,-0.00011687480212325073
MCV,2.0,0.018327978810387835
MPV,2.0,0.029223281920264455
MONO_PERC,2.0,0.1794411610349538
MONO,2.0,0.020510119707238733
NEUTRO_PERC,2.0,0.038669466016238094
NEUTRO,2.0,0.49338365407880813
O2SAT,2.0,0.06930850432283402
PCO2,2.0,0.09477793103641452
PH,2.0,0.013715266461219674
PLT,2.0,0.11652206638007498
PO2,2.0,0.001221352109948587
POTASSIUM,2.0,0.1517216777666682
PT,2.0,0.06832881132950366
PROTEIN,2.0,0.04454437727272855
RBCCNT,2.0,0.016127702683486688
RDW,2.0,-0.0031992549209690453
SODIUM,2.0,0.0074852286209814295
TIBC,2.0,-0.04162037909263745
TRANSFERRINSAT,2.0,-0.019455656645004638
TROPONINI,2.0,0.011393919699096236
WBC,2.0,0.4915016899657486
high,3.0,0.2652081581995712
low,3.0,0.2813288792875196
CAC - TEMPERATURE,3.0,0.005259410103717698
CAC - PULSE OXIMETRY,3.0,0.9455729761535249
