Demographic Features,median_value,irq
high,122.0,20.5
low,69.5,12.0
CAC - TEMPERATURE,98.1,0.8999999999999915
CAC - PULSE OXIMETRY,96.0,3.0
CAC - RESPIRATIONS,18.0,2.0
CAC - PULSE,84.0,17.5
CAC - HEIGHT,66.0,6.0
CAC - WEIGHT/SCALE,77.1055,26.879999999999995
ALBUMIN,2.7,0.8000000000000003
ALKPHOS,82.5,48.0
ALT,32.0,39.0
AGAP,11.1,3.0999999999999996
PTT,34.6,11.575
AST,38.0,34.5
ATYPLYMPH,2.0,3.0
BANDS,5.0,5.625
DBILIRUBIN,0.3,0.3
TBILIRUBIN,0.6,0.4
BNP,135.23,402.78
BUN,20.0,28.5
CRP,83.39250000000001,116.11999999999998
CALCIUMIONIZED,1.17,0.09000000000000008
CALCIUM,8.3,0.7999999999999989
CHLORIDE,104.0,6.0
CPK,136.0,324.0
CKMB,3.2,5.612500000000001
BICARB,24.0,4.199999999999999
CREATININE,0.93,0.98
DDIMER,1.835,2.5799999999999996
FERRITIN,761.0,1350.375
FIBRINOGEN,576.5,257.0
GLUCOSE,112.0,63.0
HCT,36.1,9.900000000000002
HGB,11.7,3.3999999999999986
INR,1.2,0.19999999999999996
IL6,67.7,127.19999999999999
IRON,32.0,32.0
LACTATE,1.6,0.8500000000000001
LDH,399.0,233.625
LYMPHO_PERC,13.5,13.0125
LYMPHO,1.1,0.75
MCHC,31.05,1.9875000000000007
MCV,91.1,8.087499999999991
MPV,8.6,1.7000000000000002
MONO_PERC,7.0,4.6499999999999995
MONO,0.55,0.35
NEUTRO_PERC,76.1,17.5
NEUTRO,6.0,5.199999999999999
O2SAT,81.5,24.14999999999999
PCO2,43.0,10.0
PH,7.395,0.0649999999999995
PLT,242.0,151.0
PO2,49.0,23.0
POTASSIUM,4.3,0.6499999999999995
PT,14.7,2.4499999999999993
PROTEIN,6.3,0.9500000000000002
RBCCNT,3.985,1.12
RDW,13.9,2.75
SODIUM,139.0,5.0
TIBC,172.5,74.0
TRANSFERRINSAT,19.0,17.5
TROPONINI,0.055,0.152
WBC,8.2,5.699999999999999
