Demographic Features,median_value,irq
high,113.5,16.5
low,62.5,10.0
CAC - TEMPERATURE,97.9,0.9000000000000057
CAC - PULSE OXIMETRY,94.0,2.0
CAC - RESPIRATIONS,20.0,3.0
CAC - PULSE,88.5,16.5
CAC - HEIGHT,64.0,4.0
CAC - WEIGHT/SCALE,71.8,18.994
ALBUMIN,2.2,0.6000000000000001
ALKPHOS,82.0,33.75
ALT,29.0,22.875
AGAP,12.55,3.5
PTT,36.3,10.800000000000004
AST,43.5,29.0
ATYPLYMPH,1.0,0.5
BANDS,5.0,5.0
DBILIRUBIN,0.3,0.2
TBILIRUBIN,0.5,0.29999999999999993
BNP,97.95,160.96750000000003
BUN,40.5,33.5
CRP,131.8,116.125
CALCIUMIONIZED,1.14,0.10999999999999988
CALCIUM,7.7,0.7000000000000011
CHLORIDE,104.0,7.5
CPK,141.5,246.5
CKMB,3.275,3.250000000000001
BICARB,21.4,4.300000000000001
CREATININE,1.3925,1.4862499999999996
DDIMER,2.7,2.4475
FERRITIN,1023.75,1214.125
FIBRINOGEN,561.5,221.0
GLUCOSE,135.0,56.0
HCT,32.5,8.875000000000004
HGB,10.4,2.8999999999999986
INR,1.25,0.15000000000000013
IL6,90.9,103.41250000000001
IRON,22.0,20.25
LACTATE,1.75,0.7875000000000001
LDH,538.5,230.5
LYMPHO_PERC,5.5,3.9
LYMPHO,0.7,0.4
MCHC,30.5,1.9000000000000021
MCV,90.9,7.237500000000011
MPV,8.7,1.3499999999999996
MONO_PERC,3.5999999999999996,2.3625000000000003
MONO,0.4,0.25000000000000006
NEUTRO_PERC,84.5,9.099999999999994
NEUTRO,8.5,4.7
O2SAT,74.6,21.950000000000003
PCO2,41.0,8.75
PH,7.33,0.125
PLT,187.0,90.0
PO2,45.0,14.0
POTASSIUM,4.3,0.7250000000000001
PT,15.45,2.0
PROTEIN,5.8,0.9000000000000004
RBCCNT,3.54,1.025
RDW,13.7,1.9250000000000007
SODIUM,140.0,6.0
TIBC,139.0,43.0
TRANSFERRINSAT,17.0,15.0
TROPONINI,0.07,0.1225
WBC,10.625,5.1875
