Demographic Features,median_value,irq
high,109.0,16.0
low,60.0,12.0
CAC - TEMPERATURE,97.7,0.8999999999999915
CAC - PULSE OXIMETRY,94.0,3.0
CAC - RESPIRATIONS,20.0,5.0
CAC - PULSE,80.0,19.0
CAC - HEIGHT,64.4685,7.0292499999999905
CAC - WEIGHT/SCALE,78.1,26.238000000000014
ALBUMIN,2.1500000000000004,0.7999999999999998
ALKPHOS,79.0,42.625
ALT,28.0,30.0
AGAP,10.1,3.8000000000000007
PTT,34.2,11.05
AST,34.0,24.0
ATYPLYMPH,1.0,1.0
BANDS,3.0,4.0
DBILIRUBIN,0.3,0.3
TBILIRUBIN,0.5,0.39999999999999997
BNP,78.755,198.13374999999996
BUN,26.0,28.5
CRP,63.025,100.5575
CALCIUMIONIZED,1.14,0.09999999999999987
CALCIUM,7.775,0.8999999999999995
CHLORIDE,102.0,7.0
CPK,100.0,249.0
CKMB,3.45,3.8
BICARB,21.8,5.300000000000001
CREATININE,0.98,1.36
DDIMER,2.07,2.36625
FERRITIN,888.75,1330.75
FIBRINOGEN,500.0,245.0
GLUCOSE,120.0,52.0
HCT,30.9,11.450000000000003
HGB,9.9,3.8000000000000007
INR,1.2,0.19999999999999996
IL6,60.425,208.525
IRON,25.5,29.25
LACTATE,1.385,0.6499999999999999
LDH,445.5,231.25
LYMPHO_PERC,5.7,5.925000000000001
LYMPHO,0.7,0.5
MCHC,29.7,2.6999999999999993
MCV,90.30000000000001,7.949999999999989
MPV,8.4,1.6000000000000005
MONO_PERC,3.8,3.3
MONO,0.4,0.3
NEUTRO_PERC,79.6,14.0
NEUTRO,7.1,4.8999999999999995
O2SAT,74.0,24.299999999999997
PCO2,39.0,9.0
PH,7.3475,0.1349999999999998
PLT,194.0,131.25
PO2,41.0,15.0
POTASSIUM,4.05,0.7000000000000002
PT,14.7,1.9000000000000004
PROTEIN,5.5,1.0750000000000002
RBCCNT,3.38,1.2800000000000002
RDW,13.9,2.5
SODIUM,138.0,5.0
TIBC,152.5,86.25
TRANSFERRINSAT,15.0,12.75
TROPONINI,0.057,0.1855
WBC,9.25,6.149999999999999
