Demographic Features,median_value,irq
high,116.0,24.0
low,64.0,14.0
CAC - TEMPERATURE,97.9,1.2999999999999972
CAC - PULSE OXIMETRY,95.0,4.0
CAC - RESPIRATIONS,20.0,6.0
CAC - PULSE,85.0,22.0
CAC - HEIGHT,65.0,4.015999999999998
CAC - WEIGHT/SCALE,72.0,21.273999999999994
ALBUMIN,2.2,0.6000000000000001
ALKPHOS,77.0,32.0
ALT,25.0,22.0
AGAP,10.5,3.0999999999999996
PTT,34.3,10.600000000000001
AST,30.0,19.0
ATYPLYMPH,1.0,1.0
BANDS,3.0,3.0
DBILIRUBIN,0.3,0.2
TBILIRUBIN,0.5,0.19999999999999996
BNP,51.0,60.62
BUN,20.0,17.0
CRP,49.55,67.63
CALCIUMIONIZED,1.15,0.08999999999999986
CALCIUM,7.9,0.8000000000000007
CHLORIDE,102.0,6.0
CPK,56.0,57.0
CKMB,2.9,3.3499999999999996
BICARB,23.0,4.899999999999999
CREATININE,0.84,0.5499999999999999
DDIMER,1.51,1.6099999999999999
FERRITIN,127.0,100.75
FIBRINOGEN,173.0,81.0
GLUCOSE,104.0,38.0
HCT,28.3,8.5
HGB,9.1,2.6999999999999993
INR,1.2,0.09999999999999987
IL6,34.9,48.900000000000006
IRON,25.0,19.0
LACTATE,1.4,0.7
LDH,219.0,52.0
LYMPHO_PERC,8.2,7.6000000000000005
LYMPHO,0.8,0.5000000000000001
MCHC,30.6,2.900000000000002
MCV,89.4,6.6000000000000085
MPV,8.3,1.3000000000000007
MONO_PERC,5.0,4.0
MONO,0.4,0.3
NEUTRO_PERC,74.4,16.299999999999997
NEUTRO,5.7,4.0
O2SAT,76.2,27.10000000000001
PCO2,40.0,8.200000000000003
PH,7.37,0.07000000000000028
PLT,154.0,86.0
PO2,43.0,18.0
POTASSIUM,4.1,0.7000000000000002
PT,14.6,1.6999999999999993
PROTEIN,5.7,0.8999999999999995
RBCCNT,3.1,0.9699999999999998
RDW,14.1,2.4000000000000004
SODIUM,138.0,5.0
TIBC,152.0,45.0
TRANSFERRINSAT,15.0,11.0
TROPONINI,0.044,0.074
WBC,8.1,5.1000000000000005
