Variable Names,Time Step,Contribution Scores
high,1.0,0.010297630562396458
low,1.0,0.03355479883101265
CAC - TEMPERATURE,1.0,-0.0006570201795296282
CAC - PULSE OXIMETRY,1.0,0.04223462774043771
CAC - RESPIRATIONS,1.0,0.011306174325897637
CAC - PULSE,1.0,0.02153117591789829
CAC - HEIGHT,1.0,0.0
CAC - WEIGHT/SCALE,1.0,-0.007067448437052251
ALBUMIN,1.0,0.017212134720432596
ALKPHOS,1.0,0.01906488144764373
ALT,1.0,0.03802243690209681
AGAP,1.0,0.01674414965840208
PTT,1.0,0.0009077104236654863
AST,1.0,0.010526797969056438
ATYPLYMPH,1.0,-0.001964179472447181
BANDS,1.0,0.0011354895746478722
DBILIRUBIN,1.0,-0.025056034530350078
TBILIRUBIN,1.0,-0.028200071815381415
BNP,1.0,0.0
BUN,1.0,0.16099541946005153
CRP,1.0,0.011300031865316479
CALCIUMIONIZED,1.0,0.00020511999520031907
CALCIUM,1.0,0.0036906155122183545
CHLORIDE,1.0,-0.00047162825213444026
CPK,1.0,-2.594384378219118e-06
CKMB,1.0,0.0
BICARB,1.0,0.003962481015786697
CREATININE,1.0,0.060041526981897964
DDIMER,1.0,0.11442602062544256
FERRITIN,1.0,0.0919353730638092
FIBRINOGEN,1.0,-0.0014608382883347108
GLUCOSE,1.0,0.0236490745954386
HCT,1.0,0.0033440280760428944
HGB,1.0,0.007527082740580211
INR,1.0,0.0001055406394180171
IL6,1.0,0.0
IRON,1.0,0.0
LACTATE,1.0,0.01746909288284782
LDH,1.0,0.02019864424015354
LYMPHO_PERC,1.0,0.0026093856248432562
LYMPHO,1.0,0.0008189588887433632
MCHC,1.0,3.8581101265893574e-05
MCV,1.0,0.0006741233037482334
MPV,1.0,0.01038235426583891
MONO_PERC,1.0,0.019473861017303196
MONO,1.0,-0.0039500541681981825
NEUTRO_PERC,1.0,0.0021472900453015802
NEUTRO,1.0,0.019555443947774524
O2SAT,1.0,0.00013137327928289402
PCO2,1.0,0.0008389041486078554
PH,1.0,2.260494015346409e-05
PLT,1.0,0.020528566521033687
PO2,1.0,-0.00043066444817245426
POTASSIUM,1.0,0.010309740926689539
PT,1.0,-0.0006295016786408524
PROTEIN,1.0,0.007629079069395574
RBCCNT,1.0,0.00925874447759467
RDW,1.0,0.002179775294474923
SODIUM,1.0,0.0012873597023954945
TIBC,1.0,0.0
TRANSFERRINSAT,1.0,0.0
TROPONINI,1.0,0.0
WBC,1.0,0.1051105132508128
high,2.0,0.0060177331673657115
low,2.0,0.021643705633059018
CAC - TEMPERATURE,2.0,-0.0026910035719232735
CAC - PULSE OXIMETRY,2.0,0.05649691828223941
CAC - RESPIRATIONS,2.0,0.016788554737801876
CAC - PULSE,2.0,0.008310736222132315
CAC - HEIGHT,2.0,0.0
CAC - WEIGHT/SCALE,2.0,-2.011897443445113e-05
ALBUMIN,2.0,0.010110625645172552
ALKPHOS,2.0,-0.006339150932208803
ALT,2.0,-0.03028970067629142
AGAP,2.0,0.012046756576982147
PTT,2.0,0.00013626134372055784
AST,2.0,-0.0032786411133775123
ATYPLYMPH,2.0,-0.0009556278114749083
BANDS,2.0,0.008642497484470194
DBILIRUBIN,2.0,0.0020153298902306723
TBILIRUBIN,2.0,-0.0196982490234338
BNP,2.0,-0.0018715058700910765
BUN,2.0,0.11538729381128489
CRP,2.0,0.02428791998724783
CALCIUMIONIZED,2.0,-0.0009358378882810338
CALCIUM,2.0,0.001969950298898982
CHLORIDE,2.0,0.00034609772626755734
CPK,2.0,-0.0015643581427447213
CKMB,2.0,-0.0017246244511017526
BICARB,2.0,0.0009958861034915865
CREATININE,2.0,0.01994190845375889
DDIMER,2.0,-0.0023872482763968787
FERRITIN,2.0,-0.0005441347654290746
FIBRINOGEN,2.0,-0.00040508873081623485
GLUCOSE,2.0,0.00044618206864085644
HCT,2.0,0.013219826237024807
HGB,2.0,0.008599606522651689
INR,2.0,-0.0022678233953163885
IL6,2.0,-7.742567310961082e-14
IRON,2.0,0.0
LACTATE,2.0,0.059347887908710845
LDH,2.0,0.002095386106673628
LYMPHO_PERC,2.0,0.004762583140958572
LYMPHO,2.0,0.00511337699455123
MCHC,2.0,0.0010033710134846013
MCV,2.0,-0.0006601462767577191
MPV,2.0,0.004206839142061431
MONO_PERC,2.0,0.03300075203970495
MONO,2.0,-0.0008153826301140279
NEUTRO_PERC,2.0,-0.0004766526356770946
NEUTRO,2.0,0.008096688862512592
O2SAT,2.0,-1.6123239855112668e-05
PCO2,2.0,0.0026879588943449994
PH,2.0,0.0007106989170601002
PLT,2.0,-0.014186539947349698
PO2,2.0,-0.002115469838902368
POTASSIUM,2.0,0.004535456099000393
PT,2.0,0.0010390647696788124
PROTEIN,2.0,0.005401675240899866
RBCCNT,2.0,0.0013098914944103556
RDW,2.0,0.005765657947275876
SODIUM,2.0,0.0005363491238061825
TIBC,2.0,0.0
TRANSFERRINSAT,2.0,0.0
TROPONINI,2.0,-0.0035973442475219263
WBC,2.0,0.035888552727814695
high,3.0,0.009819600470466176
low,3.0,0.03891077329040103
CAC - TEMPERATURE,3.0,0.00021270444302384824
CAC - PULSE OXIMETRY,3.0,0.5049654128903702
CAC - RESPIRATIONS,3.0,0.003928737203178201
CAC - PULSE,3.0,0.004951325716055503
CAC - HEIGHT,3.0,0.0
CAC - WEIGHT/SCALE,3.0,0.0
ALBUMIN,3.0,0.022017258368893736
ALKPHOS,3.0,-0.0011677264950761606
ALT,3.0,-0.03473157466011449
AGAP,3.0,0.04262636925142687
PTT,3.0,-0.002644991819968668
AST,3.0,-0.00867473233418095
ATYPLYMPH,3.0,0.00024323418342236727
BANDS,3.0,0.009090118408804955
DBILIRUBIN,3.0,-0.009324379348409675
TBILIRUBIN,3.0,-0.017575235617482497
BNP,3.0,0.0
BUN,3.0,0.10794397894629443
CRP,3.0,0.00985292072178817
CALCIUMIONIZED,3.0,0.0019723669396185728
CALCIUM,3.0,0.0015844621737323313
CHLORIDE,3.0,0.0006192320564425882
CPK,3.0,-0.007445078730712754
CKMB,3.0,0.0
BICARB,3.0,0.00452685222701344
CREATININE,3.0,0.039801138754584665
DDIMER,3.0,0.013088746355644613
FERRITIN,3.0,0.026022045358340004
FIBRINOGEN,3.0,0.0015137010317027887
GLUCOSE,3.0,0.03557739611022113
HCT,3.0,0.010553921678957056
HGB,3.0,0.011880554909047127
INR,3.0,0.006967115047213054
IL6,3.0,0.0
IRON,3.0,0.0
LACTATE,3.0,0.49253780750728016
LDH,3.0,0.0024673676256652356
LYMPHO_PERC,3.0,0.003517153242123176
LYMPHO,3.0,9.37086712912672e-05
MCHC,3.0,0.0008227487664911894
MCV,3.0,-6.8147806920175965e-06
MPV,3.0,-0.001282066469092737
MONO_PERC,3.0,0.024737632862734303
MONO,3.0,-0.0007698022747773974
