Variable Names,Time Step,Contribution Scores
high,1.0,0.0034697903501177438
low,1.0,0.006888194564875325
CAC - TEMPERATURE,1.0,7.081416985842488e-07
CAC - PULSE OXIMETRY,1.0,0.01576973847758825
CAC - RESPIRATIONS,1.0,0.00402829891414096
CAC - PULSE,1.0,0.006654643109776723
CAC - HEIGHT,1.0,-0.0003530057079963226
CAC - WEIGHT/SCALE,1.0,-0.0005936149004719344
ALBUMIN,1.0,0.008075782107954755
ALKPHOS,1.0,0.0022722998244446603
ALT,1.0,0.06807636043706383
AGAP,1.0,0.017297102489197774
PTT,1.0,0.0032062564488080127
AST,1.0,0.2536110296029273
ATYPLYMPH,1.0,0.002194294374915583
BANDS,1.0,0.0026010916234786787
DBILIRUBIN,1.0,0.020243473799806014
TBILIRUBIN,1.0,0.010327195381063657
BNP,1.0,0.00228484905543851
BUN,1.0,0.06559671848838142
CRP,1.0,0.014343708104243246
CALCIUMIONIZED,1.0,-0.00016834995553743106
CALCIUM,1.0,0.002409804513644887
CHLORIDE,1.0,0.00012045601654686815
CPK,1.0,0.036004726227402854
CKMB,1.0,0.008494728193780074
BICARB,1.0,0.002915327016640468
CREATININE,1.0,0.04025683906414869
DDIMER,1.0,0.014716478933493713
FERRITIN,1.0,0.017127374006392512
FIBRINOGEN,1.0,-0.0007129375008047135
GLUCOSE,1.0,0.012768806709476034
HCT,1.0,0.0006155651226755677
HGB,1.0,0.0010453356025814863
INR,1.0,0.005905599128038138
IL6,1.0,-4.3356362835686704e-05
IRON,1.0,0.002239655103806572
LACTATE,1.0,0.03180248373053721
LDH,1.0,0.04505705523511329
LYMPHO_PERC,1.0,0.007405163694428663
LYMPHO,1.0,0.0022991747075493977
MCHC,1.0,1.883883989902505e-05
MCV,1.0,0.0002966756598259115
MPV,1.0,0.0023620965169330503
MONO_PERC,1.0,0.008902822912557158
MONO,1.0,1.1832237225285308e-05
NEUTRO_PERC,1.0,0.00236377618197568
NEUTRO,1.0,0.022715427536209386
O2SAT,1.0,0.00013282041257160624
PCO2,1.0,0.0026460176298648726
PH,1.0,0.0002623455246691169
PLT,1.0,0.0026130484016909667
PO2,1.0,-0.0007211588587042196
POTASSIUM,1.0,0.009311608513394106
PT,1.0,0.0072655067771199636
PROTEIN,1.0,0.001868259116769688
RBCCNT,1.0,0.0008776170287635651
RDW,1.0,3.409922460155964e-05
SODIUM,1.0,0.0006824251086400963
TIBC,1.0,-1.3152863585990035e-05
TRANSFERRINSAT,1.0,-0.005144259806367341
TROPONINI,1.0,5.2092849494608875e-05
WBC,1.0,0.024815961228468634
high,2.0,0.005918798847150925
low,2.0,0.009922226060072103
CAC - TEMPERATURE,2.0,0.0002708304435169531
CAC - PULSE OXIMETRY,2.0,0.03354651531690612
CAC - RESPIRATIONS,2.0,-5.582232488852029e-05
CAC - PULSE,2.0,0.008634757728705077
CAC - HEIGHT,2.0,3.799975246119433e-05
CAC - WEIGHT/SCALE,2.0,-0.0008432764921488353
ALBUMIN,2.0,0.008830577267213405
ALKPHOS,2.0,0.0030357338184690942
ALT,2.0,0.03623651272780054
AGAP,2.0,0.020514656496232443
PTT,2.0,0.0028075981857524405
AST,2.0,0.2958132425231412
ATYPLYMPH,2.0,0.0024883342147716246
BANDS,2.0,0.0019827267649258364
DBILIRUBIN,2.0,0.015670469805399788
TBILIRUBIN,2.0,0.013498574734616414
BNP,2.0,0.000179459840744969
BUN,2.0,0.0755132833424434
CRP,2.0,0.01738402302510074
CALCIUMIONIZED,2.0,-0.00032862996963246843
CALCIUM,2.0,0.002477226932542868
CHLORIDE,2.0,0.0001436943317611489
CPK,2.0,0.06737232736133925
CKMB,2.0,-0.0025962058415407063
BICARB,2.0,0.003817635202591941
CREATININE,2.0,0.039068695432616124
DDIMER,2.0,0.010135623535493122
FERRITIN,2.0,0.01843547456892739
FIBRINOGEN,2.0,-0.0002934762764167438
GLUCOSE,2.0,0.015325814712244019
HCT,2.0,0.00012416158973556878
HGB,2.0,0.00046335704854402846
INR,2.0,0.006624247865483623
IL6,2.0,-0.0003151440570827973
IRON,2.0,0.0
LACTATE,2.0,0.10165634933067119
LDH,2.0,0.1005958888695918
LYMPHO_PERC,2.0,0.005369385740187189
LYMPHO,2.0,0.0012071150979997495
MCHC,2.0,8.50723431440999e-05
MCV,2.0,0.0003167924288227833
MPV,2.0,0.0027897967535429973
MONO_PERC,2.0,0.009703580574422535
MONO,2.0,-4.1046323675429225e-05
NEUTRO_PERC,2.0,0.0018666718301564211
NEUTRO,2.0,0.023944076793703337
O2SAT,2.0,0.0004251881513637804
PCO2,2.0,0.004078065632449893
PH,2.0,0.000675866902297101
PLT,2.0,0.005052115650845367
PO2,2.0,-0.0013830122243054335
POTASSIUM,2.0,0.012329313210125318
PT,2.0,0.009113353745351549
PROTEIN,2.0,0.0021064272312183484
RBCCNT,2.0,0.0002630920610852327
RDW,2.0,0.00026383125108461096
SODIUM,2.0,0.0005962177973076702
TIBC,2.0,0.0
TRANSFERRINSAT,2.0,0.0
TROPONINI,2.0,0.0016697143189370587
WBC,2.0,0.02874450799830919
high,3.0,0.012891528997725447
low,3.0,0.02114338789981999
CAC - TEMPERATURE,3.0,-4.23526716604462e-05
CAC - PULSE OXIMETRY,3.0,0.07774672604207601
CAC - RESPIRATIONS,3.0,0.004126100621337216
CAC - PULSE,3.0,0.011727129224693397
CAC - HEIGHT,3.0,0.00010077389958055216
CAC - WEIGHT/SCALE,3.0,-9.822007843627351e-05
ALBUMIN,3.0,0.010399575421619442
ALKPHOS,3.0,0.002424695986765756
ALT,3.0,0.12521575220976847
AGAP,3.0,0.03243737160409058
PTT,3.0,0.001012009504138881
AST,3.0,0.6871123244894743
ATYPLYMPH,3.0,0.004353726167006493
BANDS,3.0,0.0022359853009065256
DBILIRUBIN,3.0,0.006149793277045294
TBILIRUBIN,3.0,0.015750145490668714
BNP,3.0,0.0011253311440395392
BUN,3.0,0.10170350936713635
CRP,3.0,0.024244465541647074
CALCIUMIONIZED,3.0,0.0004125034406730308
CALCIUM,3.0,0.002136833028258309
CHLORIDE,3.0,0.00018792662765114941
CPK,3.0,0.03681430276476419
CKMB,3.0,-0.00036283088353796406
BICARB,3.0,0.004665159357279283
CREATININE,3.0,0.05091810666252625
DDIMER,3.0,0.028960456101955953
FERRITIN,3.0,0.07253067481896727
FIBRINOGEN,3.0,-0.00021512133595406158
GLUCOSE,3.0,0.018944587590361585
HCT,3.0,-8.385410796854915e-05
HGB,3.0,0.0007207872901540599
INR,3.0,0.002662403068423486
IL6,3.0,0.004852670478518989
IRON,3.0,0.0
LACTATE,3.0,0.11178566996489091
LDH,3.0,0.2795676479514241
LYMPHO_PERC,3.0,0.006318322735595214
LYMPHO,3.0,0.0005491023742400244
MCHC,3.0,0.000171203439056048
MCV,3.0,0.0005069260896065769
MPV,3.0,0.004765994691515914
MONO_PERC,3.0,0.013050178799070078
MONO,3.0,-0.00021791003267112035
NEUTRO_PERC,3.0,0.0022718054994320686
NEUTRO,3.0,0.038457720074309615
O2SAT,3.0,0.0004210138929706039
PCO2,3.0,0.00973049868925433
PH,3.0,0.0007206000225427056
PLT,3.0,0.0046232369412666716
PO2,3.0,-0.00194007967160367
POTASSIUM,3.0,0.017679076009364695
PT,3.0,0.003281075134515546
PROTEIN,3.0,0.00324348752081642
RBCCNT,3.0,0.0004955652171050468
RDW,3.0,2.1749723603643375e-05
SODIUM,3.0,0.0014552277571468803
TIBC,3.0,0.0
TRANSFERRINSAT,3.0,0.0
TROPONINI,3.0,0.007181378179922716
WBC,3.0,0.03307091963811228
high,4.0,0.03466551145927792
low,4.0,0.05538971482477627
CAC - TEMPERATURE,4.0,0.0016285952753321196
CAC - PULSE OXIMETRY,4.0,0.2567739984380353
CAC - RESPIRATIONS,4.0,-0.00780177742437114
CAC - PULSE,4.0,0.00871607305472891
CAC - HEIGHT,4.0,-7.613613162768602e-11
CAC - WEIGHT/SCALE,4.0,0.0005788583362700676
ALBUMIN,4.0,0.01231130429786076
ALKPHOS,4.0,-0.0034346691689313815
ALT,4.0,0.03272284466338488
AGAP,4.0,0.046256776575159815
PTT,4.0,0.012186308248469608
AST,4.0,0.12236553535941627
ATYPLYMPH,4.0,0.004646647615541689
BANDS,4.0,0.008912163449307963
DBILIRUBIN,4.0,-0.01317908194352786
TBILIRUBIN,4.0,-0.0032997590572710353
BNP,4.0,-0.0004857633565695466
BUN,4.0,0.12067999024515134
CRP,4.0,0.03289002946622307
CALCIUMIONIZED,4.0,0.0005879397371875307
CALCIUM,4.0,0.0011475246709384255
CHLORIDE,4.0,0.0005071001953864395
CPK,4.0,-0.002611965365887932
CKMB,4.0,-0.001429804680057482
BICARB,4.0,0.008196931677805361
CREATININE,4.0,0.06408912198003165
DDIMER,4.0,0.027391723809683556
FERRITIN,4.0,0.019421173629922354
FIBRINOGEN,4.0,0.00022949096578935585
GLUCOSE,4.0,0.034700072051765375
HCT,4.0,-0.00018318006676916134
HGB,4.0,0.00017456752577365623
INR,4.0,0.005143105863379868
IL6,4.0,0.002101550867516665
IRON,4.0,0.0
LACTATE,4.0,0.23872046461647609
LDH,4.0,0.08315564963009739
LYMPHO_PERC,4.0,0.006512048011006222
LYMPHO,4.0,-0.0010703483662961389
MCHC,4.0,1.0617141819232004e-05
MCV,4.0,0.0005356606828768839
MPV,4.0,0.0018939721905930447
MONO_PERC,4.0,0.01087704473062899
MONO,4.0,-0.0008236482669309008
NEUTRO_PERC,4.0,0.0018812647025326754
NEUTRO,4.0,0.030991883119334828
O2SAT,4.0,0.0010770844246904114
PCO2,4.0,0.011911432573442078
PH,4.0,0.0012476670523328746
PLT,4.0,0.00027046772167603803
PO2,4.0,-0.003116098557687737
POTASSIUM,4.0,0.021266777769235422
PT,4.0,0.008698432165642827
PROTEIN,4.0,0.001701214378820307
RBCCNT,4.0,0.0004373053785051905
RDW,4.0,6.678660761667915e-05
SODIUM,4.0,0.0016971949516430313
TIBC,4.0,0.0
TRANSFERRINSAT,4.0,0.0
TROPONINI,4.0,0.014129020303365804
WBC,4.0,0.04019625585525974
