Variable Names,Time Step,Contribution Scores
high,1.0,0.004030788526203355
low,1.0,0.00701385386114852
CAC - TEMPERATURE,1.0,-0.00018075425282548788
CAC - PULSE OXIMETRY,1.0,0.016888491705195244
CAC - RESPIRATIONS,1.0,0.0044599139345922545
CAC - PULSE,1.0,0.008350947497980796
CAC - HEIGHT,1.0,-0.0002981841586500544
CAC - WEIGHT/SCALE,1.0,-0.0004920705531205549
ALBUMIN,1.0,0.011350527200786966
ALKPHOS,1.0,0.0020083372939191566
ALT,1.0,0.05619019181476989
AGAP,1.0,0.02709001370389107
PTT,1.0,0.003015631178861888
AST,1.0,0.22507597477708863
ATYPLYMPH,1.0,-0.0003629994713005333
BANDS,1.0,0.002314087571816839
DBILIRUBIN,1.0,0.0239181581498891
TBILIRUBIN,1.0,0.014646784839820641
BNP,1.0,-0.007668338562243298
BUN,1.0,0.09195479505763877
CRP,1.0,0.019601193444400835
CALCIUMIONIZED,1.0,-0.00016736492986027166
CALCIUM,1.0,0.0035647198873495875
CHLORIDE,1.0,0.00022541644542449445
CPK,1.0,0.03692376171653876
CKMB,1.0,-0.0053226762940815145
BICARB,1.0,0.0039331740417516865
CREATININE,1.0,0.03784785814240185
DDIMER,1.0,0.016584654011250272
FERRITIN,1.0,0.015948721976058608
FIBRINOGEN,1.0,-0.00026009980822020026
GLUCOSE,1.0,0.01651420994864749
HCT,1.0,0.0005176373532163451
HGB,1.0,0.0008908899696500107
INR,1.0,0.00668544988385652
IL6,1.0,-4.344552503004194e-06
IRON,1.0,0.0009146115527037094
LACTATE,1.0,0.03414171369306411
LDH,1.0,0.05559224816278462
LYMPHO_PERC,1.0,0.011716908617087357
LYMPHO,1.0,0.003209727286160979
MCHC,1.0,2.9286738447814545e-05
MCV,1.0,0.0006606485923971857
MPV,1.0,0.0016323370454382968
MONO_PERC,1.0,0.0083923473374003
MONO,1.0,0.0012471311691136147
NEUTRO_PERC,1.0,0.003144924096724801
NEUTRO,1.0,0.023139709799973124
O2SAT,1.0,0.0002625430592036603
PCO2,1.0,0.004266683273150734
PH,1.0,0.00044288946751821297
PLT,1.0,0.0030105818674328517
PO2,1.0,-0.001309309203263551
POTASSIUM,1.0,0.01353032717923554
PT,1.0,0.00657703880482667
PROTEIN,1.0,0.0026464403036316375
RBCCNT,1.0,0.0008625027865402893
RDW,1.0,-6.959859536306386e-05
SODIUM,1.0,0.001105034320179626
TIBC,1.0,-0.000195320588161279
TRANSFERRINSAT,1.0,-0.0020542888719538585
TROPONINI,1.0,0.0050579932581691165
WBC,1.0,0.0344287323697502
high,2.0,0.006583273633691267
low,2.0,0.010275527615179117
CAC - TEMPERATURE,2.0,0.000930511041750611
CAC - PULSE OXIMETRY,2.0,0.03463009725800778
CAC - RESPIRATIONS,2.0,-0.00021674977180488175
CAC - PULSE,2.0,0.009942277669987709
CAC - HEIGHT,2.0,-0.0002894309804772412
CAC - WEIGHT/SCALE,2.0,-0.0005931123711248224
ALBUMIN,2.0,0.010915371586003407
ALKPHOS,2.0,0.0029645575549756345
ALT,2.0,0.036739351291269956
AGAP,2.0,0.02895685994319048
PTT,2.0,0.0038599278697227716
AST,2.0,0.2671956800131321
ATYPLYMPH,2.0,-0.00118633869554936
BANDS,2.0,0.0016098552956705374
